Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0960_HU_WP05,WP05,WP,5,17.50682228,-3.3268843, 0.069180742, 0.007261657,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0961_HU_WP05,WP05,WP,5, 1.10852913,12.3765289, 0.819197680, 0.627342596,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0963_HU_WP05,WP05,WP,5,-5.80702639,-1.3632542,-3.503086207, 2.902216937,Clust1,Clust1,0.953047,0.000010,0.000010,0.046933
KP0964_HU_WP05,WP05,WP,5, 1.22046997,14.5240302, 0.096345115,-0.804766886,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0968_HU_WP05,WP05,WP,5,-6.31189351,-0.7066486,-2.532850843, 0.600579689,Clust1,Clust1,0.888859,0.000010,0.111121,0.000010
KP0970_HU_WP05,WP05,WP,5,-6.75470676,-2.0687967,-2.191134244, 0.040984453,Clust1,Clust1,0.917873,0.000010,0.042735,0.039382
KP0971_HU_WP05,WP05,WP,5,-2.45781250, 5.1463655,-1.606857508,-0.728608737,Clust3,NA,0.377224,0.000010,0.622756,0.000010
KP0972_HU_WP05,WP05,WP,5,15.80357165,-2.1882534, 0.607686883,-0.127766069,Clust2,Clust2,0.000010,0.999969,0.000011,0.000010
KP0973_HU_WP05,WP05,WP,5,16.10173790,-2.9577907,-0.225369296, 0.673901048,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0979_HU_WP05,WP05,WP,5,16.68698592,-3.0946777, 0.124873583,-0.169506625,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0980_HU_WP05,WP05,WP,5,16.20892621,-3.4286344,-0.285590119, 0.328083244,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0984_HU_WP05,WP05,WP,5,-0.76108727, 8.2669242,-0.812894408,-1.284674192,Clust3,NA,0.296964,0.000010,0.631526,0.071501
KP0985_AC_WP05,WP05,WP,5,17.38389477,-3.2766512,-0.453192435,-0.007052534,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0986_HU_WP05,WP05,WP,5,17.21515750,-2.8916787, 0.238938180,-0.331484830,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0987_HU_WP05,WP05,WP,5,16.39626244,-2.9107057, 0.116156534, 0.154832825,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0989_HU_WP05,WP05,WP,5,17.79734024,-3.5081773, 0.506976696, 0.443094949,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP1005_HU_CA10,CA10,CA,10/12,-8.01832729,-3.2295145,10.315397916, 1.549719999,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970
KP1033_HU_CA10,CA10,CA,10/12,-7.00348776,-2.5059860, 7.117185903, 1.259816086,Clust4,Clust1,0.170186,0.000010,0.013127,0.816677
KP1036_UN_CA10,CA10,CA,10/12,-7.32010255,-3.5791378, 6.497962227, 0.633489150,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970
KP1037_HU_CA10,CA10,CA,10/12,-5.00237263, 0.8023587, 1.355147719,-0.418513447,Clust4,NA,0.195624,0.000010,0.309298,0.495068
KP1039_HU_CA10,CA10,CA,10/12,-8.24269876,-3.7366543, 0.918621558,-3.140013294,Clust4,Clust1,0.100380,0.000010,0.040504,0.859106
KP1041_HU_CA10,CA10,CA,10/12,-3.31763526, 1.4865349, 2.348694585,-0.236404221,Clust3,NA,0.336211,0.000010,0.460408,0.203371
KP1074_AC_CA20,CA20,CA,20,-8.06635068,-3.2821542,-1.163907309,-6.792566501,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970
KP1084_AC_CA20,CA20,CA,20,-7.20818644,-2.1855524, 0.819881039, 1.195617367,Clust1,Clust1,0.506447,0.000010,0.000010,0.493533
KP1116_AC_CA20,CA20,CA,20,-8.60579855,-3.6907419, 0.575339123,-2.842887752,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970
KP1153_UN_CA20,CA20,CA,20,-7.08687287,-1.8786173, 4.923903964, 1.646025700,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970
KP1159_UN_CA20,CA20,CA,20,-7.26644857,-2.2660726,-2.496331415,-0.662308689,Clust1,Clust1,0.622239,0.000010,0.000010,0.377741
KP1162_AC_CA20,CA20,CA,20,-6.51187357,-1.8555924, 3.152567628, 1.119446934,Clust4,Clust1,0.444080,0.000010,0.045868,0.510042
KX0075_HU_SB10,SB10,SB,10/12,-6.68057075,-0.1420987, 0.591487525,-3.140225220,Clust1,Clust1,0.747140,0.000010,0.166785,0.086066
