Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0257_AC_SQ20,SQ20,SQ,20,-1.2830735,-4.49571125,-1.90553357,-7.223363952,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0259_AC_SQ20,SQ20,SQ,20,19.1696376, 0.08926930,-0.47570768,-2.786639146,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0261_AC_SQ20,SQ20,SQ,20,-2.1043393,-4.53625538,-1.90103200,-6.398408454,Clust3,Clust2,0.000010,0.000010,0.941426,0.058554
KP0269_AC_SQ20,SQ20,SQ,20,-1.8937119,-2.84952159,-0.42691918,-3.876757819,Clust3,Clust2,0.000010,0.000010,0.503831,0.496149
KP0272_AC_SQ20,SQ20,SQ,20,-1.5567806,-3.82618065,-0.51783368,-0.301445088,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0279_AC_SQ20,SQ20,SQ,20,-1.4629767,-2.42729960,-1.14132243,-3.675659029,Clust3,Clust2,0.027835,0.020602,0.653322,0.298241
KP0284_AC_SQ20,SQ20,SQ,20,-2.8890533,-3.89623607,-0.18430097, 1.783544021,Clust3,Clust2,0.000010,0.001071,0.763569,0.235350
KP0289_AC_WP20,WP20,WP,20,-2.3396736, 3.28682883,-0.11140243, 0.877487112,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0291_AC_WP20,WP20,WP,20,-1.6192328, 3.65811094,-0.93259816,-0.887761971,Clust2,Clust2,0.006770,0.993210,0.000010,0.000010
KP0292_AC_WP20,WP20,WP,20,-2.4812452, 3.42822394,-1.97289537,-0.295499354,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0294_AC_WP20,WP20,WP,20,-2.5756413, 2.29188656,-0.45205253,-0.334247973,Clust2,Clust2,0.028362,0.892869,0.000010,0.078758
KP0296_AC_WP20,WP20,WP,20,-2.9618028, 3.88986164, 0.91054553, 0.216508506,Clust2,Clust2,0.037351,0.962629,0.000010,0.000010
KP0301_AC_WP20,WP20,WP,20,-2.6484851, 2.26846602, 0.93465551,-0.158103432,Clust2,Clust2,0.000010,0.883481,0.068951,0.047558
KP0304_AC_WP20,WP20,WP,20,-2.4967266, 4.47572019, 1.10262686,-0.477057530,Clust2,Clust2,0.010250,0.989730,0.000010,0.000010
KP0305_AC_WP20,WP20,WP,20,-1.5822329, 3.79955969, 0.79175069,-0.800091157,Clust2,Clust2,0.017106,0.817139,0.000010,0.165745
KP0311_AC_WP20,WP20,WP,20,21.4206242, 0.09836348,-0.28819886,-2.721577724,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0314_AC_WP20,WP20,WP,20,-3.0742929, 2.92000987,-1.21505582,-2.910629891,Clust2,Clust2,0.000010,0.964689,0.000010,0.035291
KP0317_AC_WP20,WP20,WP,20,-1.9920160, 1.34737279, 0.28579130,-0.519046451,Clust2,Clust2,0.000010,0.858901,0.000010,0.141079
KP0323_AC_WP20,WP20,WP,20,-2.7555002, 2.51086938,-2.03942025, 1.275122604,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0326_AC_WP20,WP20,WP,20,-3.0268248, 2.45355743, 0.15907277, 1.426174873,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0329_AC_WP20,WP20,WP,20,-2.8422596, 3.24559769, 0.14814720, 0.569746500,Clust2,Clust2,0.000010,0.977235,0.000010,0.022745
KP0332_AC_WP20,WP20,WP,20,-2.8999537, 3.76260406,-0.59335462, 0.792255122,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0335_AC_WP20,WP20,WP,20,-2.1750010, 3.49378743, 1.21306395,-0.867055624,Clust2,Clust2,0.000010,0.813035,0.000010,0.186945
KP0340_AC_WP20,WP20,WP,20,-1.6913939,-2.30530136,-0.24833736, 0.458770037,Clust3,Clust2,0.018571,0.434087,0.435155,0.112187
KP0346_AC_WP20,WP20,WP,20,-2.7572064, 1.42447358,-1.39219251,-3.178457512,Clust2,Clust2,0.000010,0.722480,0.277500,0.000010
KP0347_AC_WP20,WP20,WP,20,21.4924600, 0.36783761,-0.30131143,-1.621131983,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0354_AC_WP20,WP20,WP,20,-2.5591456, 4.14815769,-0.27413183, 0.910550951,Clust2,Clust2,0.000010,0.893526,0.000010,0.106454
KP0355_AC_WP20,WP20,WP,20,-2.0365002, 2.90052959,-1.14808890,-2.240804617,Clust2,Clust2,0.020489,0.979491,0.000010,0.000010
KP0360_AC_WP20,WP20,WP,20,-3.1148359, 3.85789985,-0.24387040, 0.297344667,Clust2,Clust2,0.000010,0.848969,0.000010,0.151011
KP0365_AC_WP20,WP20,WP,20,-3.1021876, 2.69896842,-1.71856036, 0.030375617,Clust2,Clust2,0.031268,0.968712,0.000010,0.000010
KP0368_AC_WP20,WP20,WP,20,-1.8361118, 2.91815842, 0.75102853,-2.988256054,Clust2,Clust2,0.015620,0.835594,0.037174,0.111612
KP0369_AC_WP20,WP20,WP,20,22.1589168, 0.54688971, 0.08850516,-0.434671223,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0372_AC_WP20,WP20,WP,20,-1.7517457, 4.54312745, 0.08736273, 0.596019108,Clust2,Clust2,0.042432,0.906242,0.000010,0.051316
KP0374_AC_WP20,WP20,WP,20,-2.1118268, 3.19645121, 0.94963913,-0.091755600,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0379_AC_WP20,WP20,WP,20,16.0060410, 0.02238899, 0.29511824, 1.114752102,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0383_AC_WP20,WP20,WP,20,-3.2079724, 3.43303134,-1.23244386, 1.031924600,Clust2,Clust2,0.000010,0.980009,0.000010,0.019971
KP0395_AC_WP20,WP20,WP,20,22.1539771, 0.57497649,-0.19641827, 2.413525335,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0396_AC_WP20,WP20,WP,20,22.3553097, 0.61227960,-0.23615693, 2.439425853,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0399_LM_WP20,WP20,WP,20,21.4962695, 0.28512169,-0.65184508,-2.831055524,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0405_AC_WP20,WP20,WP,20,-2.1212304, 3.31453951,-0.79447922,-2.415362439,Clust2,Clust2,0.015386,0.928913,0.000010,0.055692
KP0406_NA_NANA,WP20,WP,20,-2.8702963, 3.19626670,-0.52845812, 0.951936604,Clust2,Clust2,0.008523,0.837970,0.000010,0.153496
KP0407_AC_CA05,CA05,CA,5,-1.7708377,-1.87598934, 2.37389385, 0.505165155,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970
KP0408_AC_CA05,CA05,CA,5,-2.2501236,-1.93085249, 2.78079516,-3.513306473,Clust4,Clust2,0.000010,0.259675,0.000010,0.740305
KP0409_AC_CA05,CA05,CA,5,-2.3383380,-1.64385389, 2.44115362, 0.421840675,Clust4,Clust2,0.018699,0.000010,0.126765,0.854526
KP0424_AC_CA05,CA05,CA,5,-3.0016007,-3.06228722, 3.74396968, 0.287980264,Clust4,Clust2,0.000010,0.130501,0.000010,0.869479
KP0431_HU_CA05,CA05,CA,5,-1.8213317,-1.30296729, 2.64094875, 0.337204387,Clust4,Clust2,0.044498,0.117785,0.166739,0.670978
KP0441_AC_CA05,CA05,CA,5,-2.3288367,-1.43337389, 3.46169542, 0.183663863,Clust4,Clust2,0.000010,0.213764,0.058207,0.728019
KP0450_AC_WP20,WP20,WP,20,-3.2709962, 4.01249316, 0.13471016, 1.117052174,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0452_AC_WP20,WP20,WP,20,21.2867645, 0.25606954,-0.05307960, 0.367913570,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0454_AC_WP20,WP20,WP,20,-2.7594160, 3.96301272, 0.39381987, 1.152942213,Clust2,Clust2,0.000010,0.945434,0.054546,0.000010
