# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
KP0740_HU_WP10,KP0920_HU_WP10,23701,24693,23014,22729,98.76,HU_WP10
KP0783_HU_WP10,KP0886_AC_WP10,23974,23853,22447,22165.5,98.75,AC_WP10-HU_WP10
KP0092_AC_SB10,KP0134_HU_SB05,21611,22562,18793,18558,98.75,AC_SB10-HU_SB05
KP0764_HU_WP10,KP0847_HU_WP10,24755,25042,24417,24108.5,98.74,HU_WP10
KP0427_HU_CA05,KP1003_HU_CA10,22914,25119,22653,22368.5,98.74,HU_CA05-HU_CA10
KP0420_HU_CA05,KP0439_HU_CA05,23992,24742,23354,23060.5,98.74,HU_CA05
KP0416_HU_CA05,KP1153_UN_CA20,23830,24934,23384,23090,98.74,HU_CA05-UN_CA20
KP0960_HU_WP05,KP0985_AC_WP05,24378,24582,23580,23280.5,98.73,AC_WP05-HU_WP05
KP0960_HU_WP05,KP0979_HU_WP05,24338,24824,23782,23479,98.73,HU_WP05
KP0920_HU_WP10,KP0922_AC_WP10,24851,23000,22471,22186.5,98.73,AC_WP10-HU_WP10
KP0906_AC_WP10,KP0960_HU_WP05,23743,24294,22657,22369.5,98.73,AC_WP10-HU_WP05
KP0764_HU_WP10,KP0920_HU_WP10,24772,24693,24085,23779,98.73,HU_WP10
KP0474_AC_WP20,KP0922_AC_WP10,24491,23000,22111,21830,98.73,AC_WP10-AC_WP20
KP0184_AC_SQ12,KP1116_AC_CA20,24801,25105,24526,24214,98.73,AC_CA20-AC_SQ12
KP1003_HU_CA10,KP1036_UN_CA10,25137,25065,24822,24505.5,98.72,HU_CA10-UN_CA10
KP1003_HU_CA10,KP1034_HU_CA10,25119,24910,24649,24333.5,98.72,HU_CA10
KP0959_HU_WP05,KP0960_HU_WP05,23159,24294,22073,21789.5,98.72,HU_WP05
KP0886_AC_WP10,KP0906_AC_WP10,24089,23566,22275,21989.5,98.72,AC_WP10
KP0474_AC_WP20,KP0941_HU_WP10,24487,24915,24022,23714.5,98.72,AC_WP20-HU_WP10
KP0428_HU_CA05,KP1003_HU_CA10,21331,25119,21070,20801,98.72,HU_CA05-HU_CA10
KP0418_HU_CA05,KP1033_HU_CA10,24946,25113,24679,24362.5,98.72,HU_CA05-HU_CA10
KP0416_HU_CA05,KP0435_HU_CA05,23842,25033,23495,23194,98.72,HU_CA05
KP1005_HU_CA10,KP1036_UN_CA10,25206,25065,24891,24570,98.71,HU_CA10-UN_CA10
KP0789_HU_WP10,KP0963_HU_WP05,21267,23291,19178,18931,98.71,HU_WP05-HU_WP10
KP0740_HU_WP10,KP0922_AC_WP10,23728,23000,21348,21072.5,98.71,AC_WP10-HU_WP10
KP0740_HU_WP10,KP0764_HU_WP10,23641,24738,22999,22702,98.71,HU_WP10
KP0474_AC_WP20,KP0838_AC_WP10,24644,20398,19662,19408.5,98.71,AC_WP10-AC_WP20
KP0427_HU_CA05,KP1005_HU_CA10,22781,25199,22600,22309.5,98.71,HU_CA05-HU_CA10
KP0183_AC_SQ12,KP0421_HU_CA05,24113,21431,20164,19903,98.71,AC_SQ12-HU_CA05
KP0134_HU_SB05,KP0552_AC_WP20,22648,25014,22282,21994.5,98.71,AC_WP20-HU_SB05
KP0818_HU_WP10,KP0985_AC_WP05,24762,24582,23964,23653,98.7,AC_WP05-HU_WP10
KP0789_HU_WP10,KP0829_AC_WP10,21067,21900,17587,17358.5,98.7,AC_WP10-HU_WP10
KP0783_HU_WP10,KP0959_HU_WP05,24078,22826,21524,21244,98.7,HU_WP05-HU_WP10
KP0783_HU_WP10,KP0906_AC_WP10,23996,23566,22182,21894.5,98.7,AC_WP10-HU_WP10
KP0435_HU_CA05,KP0739_HU_WP10,25061,24924,24605,24285,98.7,HU_CA05-HU_WP10
KP0418_HU_CA05,KP1003_HU_CA10,24944,25119,24683,24361,98.7,HU_CA05-HU_CA10
KP0183_AC_SQ12,KP1116_AC_CA20,23972,25105,23697,23388,98.7,AC_CA20-AC_SQ12
KP0092_AC_SB10,KP0184_AC_SQ12,21067,24790,20477,20210.5,98.7,AC_SB10-AC_SQ12
KP1005_HU_CA10,KP1034_HU_CA10,25199,24910,24729,24406,98.69,HU_CA10
KP0829_AC_WP10,KP0941_HU_WP10,21989,24915,21524,21243,98.69,AC_WP10-HU_WP10
KP0739_HU_WP10,KP0838_AC_WP10,25062,20398,20080,19816.5,98.69,AC_WP10-HU_WP10
KP0428_HU_CA05,KP1005_HU_CA10,21367,25199,21186,20908.5,98.69,HU_CA05-HU_CA10
KP0418_HU_CA05,KP1005_HU_CA10,24930,25199,24749,24424.5,98.69,HU_CA05-HU_CA10
KP0184_AC_SQ12,KP0421_HU_CA05,24935,21431,20986,20711,98.69,AC_SQ12-HU_CA05
KP0134_HU_SB05,KP0639_LM_SB20,22650,24890,22160,21870,98.69,HU_SB05-LM_SB20
KP0110_AC_SB10,KP0639_LM_SB20,23635,24890,23145,22841.5,98.69,AC_SB10-LM_SB20
KP0818_HU_WP10,KP0959_HU_WP05,24828,22826,22274,21979,98.68,HU_WP05-HU_WP10
KP0420_HU_CA05,KP1153_UN_CA20,23950,24934,23504,23193,98.68,HU_CA05-UN_CA20
KP0110_AC_SB10,KP0552_AC_WP20,23645,25014,23279,22971.5,98.68,AC_SB10-AC_WP20
KP0098_AC_SB10,KP0639_LM_SB20,24831,24890,24341,24019,98.68,AC_SB10-LM_SB20
KP0906_AC_WP10,KP0979_HU_WP05,23664,24824,23108,22800.5,98.67,AC_WP10-HU_WP05
KP0774_AC_WP10,KP0906_AC_WP10,21207,23566,19393,19136,98.67,AC_WP10
KP0474_AC_WP20,KP0764_HU_WP10,24469,24738,23827,23510.5,98.67,AC_WP20-HU_WP10
KP0111_AC_SB10,KP0639_LM_SB20,25160,24890,24670,24342.5,98.67,AC_SB10-LM_SB20
KP0111_AC_SB10,KP0552_AC_WP20,25133,25014,24767,24437,98.67,AC_SB10-AC_WP20
KP0111_AC_SB10,KP0134_HU_SB05,25137,22562,22319,22023,98.67,AC_SB10-HU_SB05
KP0110_AC_SB10,KP0134_HU_SB05,23723,22562,20905,20628,98.67,AC_SB10-HU_SB05
KP0099_AC_SB10,KP0552_AC_WP20,23409,25014,23043,22735.5,98.67,AC_SB10-AC_WP20
KP0098_AC_SB10,KP0552_AC_WP20,24832,25014,24466,24139.5,98.67,AC_SB10-AC_WP20
KP0092_AC_SB10,KP0159_AC_SQ12,21102,23397,19119,18864,98.67,AC_SB10-AC_SQ12
KP0886_AC_WP10,KP0960_HU_WP05,23956,24294,22870,22564.5,98.66,AC_WP10-HU_WP05
KP0829_AC_WP10,KP0920_HU_WP10,22132,24693,21445,21158,98.66,AC_WP10-HU_WP10
KP0552_AC_WP20,KP1116_AC_CA20,25014,25105,24739,24407,98.66,AC_CA20-AC_WP20
KP0414_HU_CA05,KP1033_HU_CA10,23105,25113,22838,22533,98.66,HU_CA05-HU_CA10
KP0159_AC_SQ12,KP0421_HU_CA05,23583,21431,19634,19370.5,98.66,AC_SQ12-HU_CA05
KP0099_AC_SB10,KP0134_HU_SB05,23630,22562,20812,20533.5,98.66,AC_SB10-HU_SB05
KP0098_AC_SB10,KP0134_HU_SB05,24833,22562,22015,21721,98.66,AC_SB10-HU_SB05
KP0092_AC_SB10,KP0183_AC_SQ12,21312,23972,19904,19636.5,98.66,AC_SB10-AC_SQ12
KP0960_HU_WP05,KP0987_HU_WP05,24434,22932,21986,21689,98.65,HU_WP05
KP0906_AC_WP10,KP0985_AC_WP05,23661,24582,22863,22553.5,98.65,AC_WP05-AC_WP10
KP0886_AC_WP10,KP0989_HU_WP05,23936,24698,23254,22941,98.65,AC_WP10-HU_WP05
KP0774_AC_WP10,KP0979_HU_WP05,20586,24824,20030,19759.5,98.65,AC_WP10-HU_WP05
KP0421_HU_CA05,KP1116_AC_CA20,21448,25105,21173,20887.5,98.65,AC_CA20-HU_CA05
KP0416_HU_CA05,KP1036_UN_CA10,23823,25065,23508,23190.5,98.65,HU_CA05-UN_CA10
KP0159_AC_SQ12,KP1116_AC_CA20,23446,25105,23171,22859,98.65,AC_CA20-AC_SQ12
KP0783_HU_WP10,KP0818_HU_WP10,23906,24640,23166,22851,98.64,HU_WP10
KP0429_HU_CA05,KP0435_HU_CA05,23879,25033,23532,23212.5,98.64,HU_CA05
KP0417_HU_CA05,KP0421_HU_CA05,24106,21431,20157,19883.5,98.64,HU_CA05
KP0416_HU_CA05,KP1034_HU_CA10,23898,24910,23428,23110,98.64,HU_CA05-HU_CA10
KP0378_AC_WP20,KP0789_HU_WP10,20251,20521,15392,15182,98.64,AC_WP20-HU_WP10
KP0906_AC_WP10,KP0959_HU_WP05,24093,22826,21539,21244.5,98.63,AC_WP10-HU_WP05
KP0789_HU_WP10,KP0838_AC_WP10,21502,20398,16520,16293,98.63,AC_WP10-HU_WP10
KP0783_HU_WP10,KP0989_HU_WP05,23883,24698,23201,22882,98.63,HU_WP05-HU_WP10
KP0783_HU_WP10,KP0985_AC_WP05,23920,24582,23122,22805,98.63,AC_WP05-HU_WP10
KP0439_HU_CA05,KP0442_HU_CA05,25086,23222,22928,22613,98.63,HU_CA05
KP0184_AC_SQ12,KP0438_HU_CA05,24823,25218,24661,24322,98.63,AC_SQ12-HU_CA05
KP0099_AC_SB10,KP0429_HU_CA05,23534,23818,21972,21671,98.63,AC_SB10-HU_CA05
KP0878_AC_WP10,KP0922_AC_WP10,24487,23000,22107,21801.5,98.62,AC_WP10
KP0740_HU_WP10,KP0838_AC_WP10,23873,20398,18891,18631,98.62,AC_WP10-HU_WP10
