Individual,Site,Loc,Depth,x,y,z
KP0716_LM_SB20,SB20,SB,20,31524.7344761578,-42.3628832309642,-19.5281269657992
KP0717_AC_SB20,SB20,SB,20,31533.5178008538,-42.038886189383,-18.2853565547826
KP0718_LM_SB20,SB20,SB,20,31524.2190803164,-42.6244163643592,-20.1184515444049
KP0719_AC_SB20,SB20,SB,20,31532.8453443733,-42.096260848267,-18.3698726436651
KP0720_AC_SB20,SB20,SB,20,31533.4964307863,-41.3373244680576,-18.0324719406701
KP0721_AC_SB20,SB20,SB,20,31532.9435342497,-41.8235498483656,-18.2113571957032
KP0722_AC_SB20,SB20,SB,20,31532.7326039497,-41.6662274767243,-18.2247577436872
KP0723_AC_SB20,SB20,SB,20,31532.4085485795,-41.9008980604555,-18.6519280630202
KP0724_AC_SB20,SB20,SB,20,31532.5844172115,-41.2189007341963,-18.2913655401769
KP0725_LM_SB20,SB20,SB,20,31532.36242061,-42.4475406273794,-19.2810916718095
KP0726_AC_SB20,SB20,SB,20,31532.5059588744,-41.6487192161937,-18.6329911181996
KP0727_AC_SB20,SB20,SB,20,31531.9943326414,-42.4561039391407,-19.1125483369895
KP0728_AC_SB20,SB20,SB,20,31532.1675363363,-41.1772083315096,-18.2685681703964
KP0729_LM_SB20,SB20,SB,20,31529.9643514324,-42.3684969140927,-19.5979041815474
KP0730_AC_SB20,SB20,SB,20,31532.2523193097,-41.5901165853308,-18.6606927070234
KP0731_LM_SB20,SB20,SB,20,31529.6749559951,-42.3871021854788,-19.8884441058081
KP0732_LM_SB20,SB20,SB,20,31531.9119451085,-41.3797139978239,-18.5653539543838
KP0733_LM_SB20,SB20,SB,20,31529.7712921446,-42.7508403865411,-19.9113367127107
KP0734_AC_SB20,SB20,SB,20,31531.4875175609,-41.4018755089923,-18.1770526909522
KP0736_AC_SB20,SB20,SB,20,31530.878752616,-41.2087154368989,-18.0494217684869
KP0217_AC_SQ20,SQ20,SQ,20,42884.3271861421,-45.2049098859393,-19.7475921605409
KP0218_AC_SQ20,SQ20,SQ,20,42882.1558026607,-45.2797366227512,-19.6858073121962
KP0219_AC_SQ20,SQ20,SQ,20,42881.7428865859,-45.334321623425,-19.8103031659705
KP0220_AC_SQ20,SQ20,SQ,20,42881.6958110758,-45.1283634410301,-19.7694217874385
KP0221_AC_SQ20,SQ20,SQ,20,42881.666089217,-45.105472929934,-19.7969914997246
KP0222_AC_SQ20,SQ20,SQ,20,42881.4585691234,-45.5782092965232,-19.2598632553813
KP0224_AC_SQ20,SQ20,SQ,20,42880.0291033881,-46.2061641367057,-19.6495614325581
KP0225_AC_SQ20,SQ20,SQ,20,42880,-46.4873769285473,-19.4767997979341
KP0226_AC_SQ20,SQ20,SQ,20,42880.1681041241,-46.3645834027207,-19.4815828172409
KP0227_AC_SQ20,SQ20,SQ,20,42880.4087111803,-46.3234332292927,-19.2107011973728
KP0228_AC_SQ20,SQ20,SQ,20,42880.6263414213,-46.0831897334681,-19.1492590243929
KP0229_AC_SQ20,SQ20,SQ,20,42880.6743796666,-45.9982877935278,-19.2988479077355
KP0230_AC_SQ20,SQ20,SQ,20,42880.9234112499,-46.0777101473848,-19.2081516758952
KP0231_AC_SQ20,SQ20,SQ,20,42881.4559735468,-45.6399307468772,-19.1916752523237
KP0232_AC_SQ20,SQ20,SQ,20,42881.4651180931,-45.8084671369734,-19.2036833907728
KP0233_AC_SQ20,SQ20,SQ,20,42881.532704261,-45.7410284570316,-19.3150873720685
KP0234_LM_SQ20,SQ20,SQ,20,42882.6589235511,-46.601363418844,-19.4200009711447
KP0235_AC_SQ20,SQ20,SQ,20,42883.5822670943,-46.3720576999605,-19.1917172574959
KP0236_AC_SQ20,SQ20,SQ,20,42883.7058410965,-45.8840443793472,-19.6140676894221
KP0237_AC_SQ20,SQ20,SQ,20,42890.3731919765,-45.8841799060429,-19.7446121161159
KP0238_AC_SQ20,SQ20,SQ,20,42890.3630152783,-46.0123106510376,-19.7104933083223
KP0239_AC_SQ20,SQ20,SQ,20,42890.3636619888,-46.0916578355737,-19.6635188997951
KP0240_AC_SQ20,SQ20,SQ,20,42890.2714767203,-45.9063854618417,-19.7564963788989
KP0241_AC_SQ20,SQ20,SQ,20,42888.7740645769,-45.2948564296225,-20.0491566514059
KP0242_AC_SQ20,SQ20,SQ,20,42888.0595592605,-45.1932454280682,-20.0727870706897
KP0243_AC_SQ20,SQ20,SQ,20,42888.3999563957,-46.5501577948447,-20.0948075336944
KP0223_AC_SQ20,SQ20,SQ,20,42881.3976775263,-45.622194684895,-19.3836571928626
KP0212_AC_SQ20_X,SQ20,SQ,20,42884.5696482463,-45.3971232280195,-19.7460719780763
KP0213_AC_SQ20,SQ20,SQ,20,42884.6356356206,-45.2270406506855,-19.6574083258283
KP0215_AC_SQ20,SQ20,SQ,20,42884.5427642449,-45.3881826073839,-19.6893944912909
KP0214_AC_SQ20,SQ20,SQ,20,42884.4621663169,-45.1229403209601,-19.6633211875679
KP0216_AC_SQ20,SQ20,SQ,20,42884.4459705007,-45.3253401289496,-19.6164559660102
KP0248_AC_SQ20,SQ20,SQ,20,42898.1776591517,-44.6549696236947,-20.3684043286917
KP0250_AC_SQ20,SQ20,SQ,20,42897.8554391114,-44.7411522378233,-20.232712281775
KP0251_AC_SQ20,SQ20,SQ,20,42897.7846706325,-44.706692210885,-20.3142683338182
KP0252_LM_SQ20,SQ20,SQ,20,42899.0275098603,-46.6931555789777,-20.2813171311764
KP0253_LM_SQ20,SQ20,SQ,20,42905.4757959299,-45.7711251428101,-20.4039601332747
KP0254_LM_SQ20,SQ20,SQ,20,42905.4034369024,-45.616139247827,-20.4021244962984
KP0255_AC_SQ20,SQ20,SQ,20,42904.9652048978,-45.3526606448035,-20.678909924239
KP0256_AC_SQ20,SQ20,SQ,20,42904.8692271728,-45.2399293307263,-20.6552522249009
KP0257_AC_SQ20,SQ20,SQ,20,42904.1885211299,-45.6547535559881,-20.8279658967712
KP0259_AC_SQ20,SQ20,SQ,20,42904.2474565771,-45.34408527338,-20.8900879876325
KP0260_AC_SQ20,SQ20,SQ,20,42904.0548547251,-45.7704868665539,-20.7041051789612
KP0261_AC_SQ20,SQ20,SQ,20,42904.0099412254,-45.7509561128317,-20.7044987314912
KP0262_AC_SQ20,SQ20,SQ,20,42903.9196095113,-45.7609409625456,-20.7416902746772
KP0263_AC_SQ20,SQ20,SQ,20,42904.021750317,-45.7122892150593,-20.7560384494171
KP0265_AC_SQ20,SQ20,SQ,20,42901.9987709284,-45.9175068991164,-20.2245646196819
KP0266_AC_SQ20,SQ20,SQ,20,42901.8909319931,-45.8262978677147,-20.0519175098026
KP0267_AC_SQ20,SQ20,SQ,20,42901.89043372,-45.7553281746112,-20.1004745340291
KP0268_AC_SQ20_X,SQ20,SQ,20,42901.8301176413,-45.803109894764,-20.0433120271062
KP0271_AC_SQ20_X,SQ20,SQ,20,42901.7168064591,-45.8619220215862,-20.0458466101719
KP0270_AC_SQ20,SQ20,SQ,20,42901.7240702152,-45.8167960338771,-20.0531414606461
KP0272_AC_SQ20,SQ20,SQ,20,42901.5747151106,-45.1488561870671,-20.3221872611095
KP0273_AC_SQ20,SQ20,SQ,20,42901.5148562154,-45.1937539639391,-20.2476196869325
KP0274_AC_SQ20,SQ20,SQ,20,42901.2982699391,-45.0254795902916,-20.2858721286093
KP0275_AC_SQ20,SQ20,SQ,20,42901.2314449879,-45.1070159865688,-20.2304895435691
KP0276_AC_SQ20,SQ20,SQ,20,42901.2004481325,-45.2161595732387,-20.2259908695314
KP0277_AC_SQ20,SQ20,SQ,20,42901.1453089808,-45.0594101539427,-20.280813908704
KP0278_AC_SQ20,SQ20,SQ,20,42900.8575749685,-46.3955287471594,-19.9606511857522
KP0280_AC_SQ20,SQ20,SQ,20,42901.0383754123,-46.4243860667398,-19.8404186475828
KP0279_AC_SQ20,SQ20,SQ,20,42900.9212825422,-46.2567868642518,-19.8782207496301
KP0281_AC_SQ20,SQ20,SQ,20,42901.0901454883,-46.4113661459335,-19.8923782441447
KP0282_LM_SQ20,SQ20,SQ,20,42903.4580415696,-46.810813744085,-20.5806785216189
KP0285_LM_SQ20,SQ20,SQ,20,42905.3798136155,-46.2552264117102,-20.7049069175886
KP0286_AC_SQ20,SQ20,SQ,20,42905.8250754955,-46.5677554772684,-20.1476891528835
KP0283_AC_SQ20_X,SQ20,SQ,20,42904.1185621198,-47.1139248193417,-20.4591456917358
KP0284_AC_SQ20_X,SQ20,SQ,20,42904.1300418696,-47.155,-20.4233636066344
KP0264_AC_SQ20_X,SQ20,SQ,20,42901.9699765961,-45.9438548565346,-20.2997967153238
KP0269_AC_SQ20,SQ20,SQ,20,42901.7885977277,-45.8355713301105,-20.0319846777589
KP0249_LM_SQ20,SQ20,SQ,20,42898.0932076546,-44.5593761348194,-20.522044825623
KP0258_AC_SQ20,SQ20,SQ,20,42904.1299453188,-45.6537267128989,-20.8558594625378
KP0950_AC_WP05,WP05,WP,05,1.64693213403246,0.458427957824395,-5.03528425163498
KP0952_HU_WP05,WP05,WP,05,1.13355072794474,0.873842911265321,-4.9632289894841
KP0954_HU_WP05,WP05,WP,05,1.06996846164174,0.930018474366114,-4.89129605302583
KP0955_HU_WP05,WP05,WP,05,1.04842177895356,0.90691953257282,-4.87177692244868
KP0956_HU_WP05,WP05,WP,05,0.981537536081115,0.900871552114937,-4.83642441476952
KP0957_HU_WP05,WP05,WP,05,1.05200353470299,0.979434229907109,-4.90099973303757
KP0958_HU_WP05,WP05,WP,05,0.898305329359442,0.846790985018358,-4.85249940767238
KP0959_HU_WP05,WP05,WP,05,0.689750296427123,0.719992501601502,-4.95198791341673
KP0960_HU_WP05,WP05,WP,05,0.679627245070359,0.518893010721138,-4.93101803693956
KP0961_HU_WP05,WP05,WP,05,0.353348790990008,0.928435360458453,-5.09991868676607
KP0962_AC_WP05,WP05,WP,05,0.35316714331244,0.988751831976078,-5.05429775223373
KP0963_HU_WP05,WP05,WP,05,0,0.533090673201586,-5.18220477439022
KP0964_HU_WP05,WP05,WP,05,1.26102190053662,0.230927120621732,-4.96424665074689
KP0965_AC_WP05,WP05,WP,05,1.47850771055136,0.172964991424986,-4.95973946813661
KP0966_AC_WP05,WP05,WP,05,1.45026299419174,0,-5.05214006152277
KP0967_AC_WP05_X,WP05,WP,05,3.3931455150443,0.285236794567344,-5.15752783691603
KP0968_HU_WP05,WP05,WP,05,3.92784704764153,0.56196277348463,-5.20570977241394
KP0969_HU_WP05,WP05,WP,05,5.70705932985571,2.03516718124198,-5.31706782867832
KP0970_HU_WP05,WP05,WP,05,4.65348023456824,1.45164074459999,-5.27287699923776
KP0971_HU_WP05,WP05,WP,05,4.6551737323337,1.60566377787768,-5.22948231260595
KP0972_HU_WP05,WP05,WP,05,4.4114796196163,1.6368075663426,-5.26042911401142
KP0973_HU_WP05,WP05,WP,05,6.69707303314674,1.60117777180483,-5.35357052365766
KP0974_AC_WP05,WP05,WP,05,9.37912214686411,2.37185901668046,-4.94234010365292
KP0975_AC_WP05,WP05,WP,05,9.24666122631801,2.70760392081031,-5.16380081714514
KP0976_AC_WP05,WP05,WP,05,9.02942236869538,2.7081658979604,-5.19093568551692
KP0977_AC_WP05,WP05,WP,05,9.12871929777438,2.63565128742793,-5.13707083514851
KP0978_AC_WP05,WP05,WP,05,12.1457760120601,1.33506021673682,-5.22190695651972
KP0979_HU_WP05,WP05,WP,05,18.4711197613706,3.94462911271491,-4.7805824683662
KP0980_HU_WP05,WP05,WP,05,15.8883540029114,3.17154763956487,-4.80927085583826
KP0981_AC_WP05,WP05,WP,05,15.8807466951243,2.97859663382267,-4.89567160696823
KP0982_AC_WP05,WP05,WP,05,16.4897905106013,2.71735055658962,-4.91498959773911
KP0983_AC_WP05,WP05,WP,05,19.380472308369,3.31596104470498,-4.63783132942166
KP0984_HU_WP05,WP05,WP,05,19.678149254673,3.35460854474866,-4.67269133484175
KP0985_HU_WP05,WP05,WP,05,19.7076414770712,3.35736874633993,-4.77408362112917
KP0986_HU_WP05,WP05,WP,05,21.542048473278,2.8290399808692,-4.73656817249321
KP0987_HU_WP05,WP05,WP,05,22.6622141005017,2.61804680321834,-4.6593725696294
KP0988_AC_WP05,WP05,WP,05,9.32246095939314,1.95730250709227,-4.96545401756639
KP0989_AC_WP05,WP05,WP,05,11.7737345981902,1.3940671437855,-5.15370252427672
KP0739_HU_WP10,WP10,WP,10,5.86340292007513,-29.2811435445647,-9.12758228436501
KP0740_HU_WP10,WP10,WP,10,6.16562589813702,-28.3832675351312,-9.36676741585396
KP0741_AC_WP10,WP10,WP,10,5.50006428410925,-29.5901794213515,-9.39056486147038
KP0742_AC_WP10,WP10,WP,10,4.92189571685998,-28.5180815534444,-9.69288680808697
KP0743_AC_WP10,WP10,WP,10,5.31609267200479,-29.2798306028546,-9.27869348729232
KP0744_HU_WP10,WP10,WP,10,5.00619817656757,-27.7509445478468,-9.81296499399555
KP0745_AC_WP10_X,WP10,WP,10,5.25532009020904,-29.4196631030385,-9.63440249222114
KP0746_AC_WP10,WP10,WP,10,4.81251998314653,-27.9801910309134,-10.0703495864136
KP0747_AC_WP10,WP10,WP,10,4.84252449973394,-29.5656664535639,-9.89431310261973
KP0748_AC_WP10,WP10,WP,10,3.55106362376811,-28.3262249064061,-9.51180725428919
KP0749_AC_WP10,WP10,WP,10,4.39199853607691,-29.1596862155606,-9.40804296185982
KP0750_AC_WP10,WP10,WP,10,3.37037510069553,-27.9691965234714,-9.17766504342901
KP0751_AC_WP10,WP10,WP,10,4.29292967780872,-29.6783419417919,-9.70473339927706
KP0752_AC_WP10,WP10,WP,10,3.35745513845737,-28.0102518841069,-9.37119849927592
KP0753_AC_WP10_X,WP10,WP,10,3.14099736988192,-29.9424403194375,-9.65418398394489
KP0754_LM_WP10,WP10,WP,10,1.44271662337979,-27.3784854269179,-10.0549904282515
KP0755_AC_WP10,WP10,WP,10,2.73439641844343,-29.824439230683,-8.73914385658678
KP0756_AC_WP10,WP10,WP,10,1.86919447178323,-27.6032936593792,-9.47780594376113
KP0757_AC_WP10,WP10,WP,10,2.42745848404262,-29.8158211557495,-8.56715984613852
KP0758_AC_WP10,WP10,WP,10,1.75114302019948,-27.3419473696382,-8.95646681277396
KP0759_AC_WP10,WP10,WP,10,2.24258534743458,-29.3448703245641,-9.04540858248425
KP0760_AC_WP10,WP10,WP,10,1.53550020956395,-27.3038944628039,-8.66492287644742
KP0761_AC_WP20,WP20,WP,20,13.9603782497697,-47.8276474816417,-18.9979552223103
KP0762_AC_WP10,WP10,WP,10,1.34855099696956,-27.2445276029257,-8.29640391695796
KP0763_LM_WP10,WP10,WP,10,0.385727201942062,-28.4928948639855,-9.40283066904062
