10.3581	10.3581	10.3581	10.358	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3581	10.3581	10.3582	10.3584	10.3583	10.3583	10.3584	10.3584	10.3584	10.6659	10.666	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.72146	1.74238	1.94389	1.83017	2.11458	2.19287	2.22121	2.28198	2.32238	2.3674	2.16331	2.20016	-0.387067	0.344395																																		
10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3582	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.6659	10.666	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.63882	1.64197	1.87361	1.78708	2.08037	2.12742	2.15808	2.22828	2.27076	2.32053	2.11841	2.1589	0.107597	-0.914874	0.0473352																																	
10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3582	10.3584	10.3583	10.3584	10.3584	10.3584	10.3584	10.6659	10.666	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.67044	1.69305	1.90329	1.78487	2.08071	2.16168	2.19087	2.25325	2.29479	2.34099	2.13079	2.16886	-0.0933857	0.298381	-1.27783	-0.0450594																																
10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3582	10.3584	10.3583	10.3584	10.3584	10.3584	10.3584	10.6659	10.666	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.6484	1.66874	1.88552	1.77027	2.06988	2.14659	2.17631	2.24042	2.2825	2.32964	2.11856	2.15743	-0.0461063	0.176874	-0.881832	-0.228141	-1.70776																															
10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3583	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.6659	10.666	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.57082	1.58154	1.82243	1.72061	2.03216	2.09252	2.12412	2.19459	2.23857	2.28911	2.07541	2.11712	0.277366	-0.247315	0.00425282	-0.826433	-0.215654	-0.470254																														
10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3583	10.3584	10.3584	10.3584	10.3584	10.3585	10.3584	10.6659	10.6661	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.52621	1.52638	1.78424	1.69779	2.0131	2.05728	2.09016	2.16559	2.21073	2.26374	2.05078	2.09438	0.51007	-0.409473	0.374646	-0.56008	0.239715	0.0858311	-0.762753																													
10.3582	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3583	10.3584	10.3584	10.3584	10.3584	10.3585	10.3584	10.6659	10.6661	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.46168	1.48608	1.74105	1.61327	1.95563	2.03729	2.07035	2.14125	2.18762	2.23941	2.00725	2.05098	0.590843	0.321393	0.255734	0.06692	0.0180736	-0.119607	-0.457825	-0.189293																												
10.3582	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3583	10.3585	10.3584	10.3584	10.3584	10.3585	10.3585	10.6659	10.6661	10.666	10.666	10.666	10.666	10.6662	10.6662	10.6662	10.6663	1.43884	1.45481	1.72208	1.60724	1.95027	2.01908	2.05293	2.12724	2.17424	2.22764	1.9973	2.04223	0.639818	0.210215	0.382009	-0.00510244	0.189096	0.0499348	-0.510087	-0.498025	-1.19027																											
10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3583	10.3584	10.3584	10.3584	10.3584	10.3585	10.3584	10.6659	10.6661	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.48396	1.52775	1.75863	1.59857	1.9448	2.05832	2.09004	2.15397	2.19958	2.24833	2.00808	2.04969	0.689445	0.685781	0.290505	0.480793	0.0788534	0.0619918	0.186342	0.417384	-0.342154	0.00458533																										
10.358	10.3579	10.3579	10.3579	10.3579	10.3579	10.3579	10.358	10.358	10.358	10.358	10.358	10.358	10.3581	10.3583	10.3582	10.3582	10.3582	10.3583	10.3583	10.6658	10.6659	10.6659	10.6658	10.6658	10.6659	10.666	10.666	10.6661	10.6662	2.34022	2.34889	2.46591	2.39821	2.56874	2.61888	2.63764	2.67956	2.70689	2.73817	2.60203	2.62571	1.45795	1.69052	1.56739	1.67783	1.62388	1.64575	1.72562	1.77914	1.8035	1.82299	1.80132																									
