Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,taxaQ.Clust1,taxaQ.Clust2
KP0572_AC_WP20,WP20,WP,20, 1.65286525, 1.49037011, 1.415294e-01, 0.198376056,Clust2,Clust2,0.000010,0.976943,0.023037,0.000010,0.000010,0.999990
KP0575_AC_WP20,WP20,WP,20,-8.89748302, 0.17381917, 6.368139e-02,-0.098712722,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0576_AC_WP20,WP20,WP,20,-8.77921065, 0.01604334,-1.627879e-01,-0.527300421,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0579_AC_WP20,WP20,WP,20, 1.10170431, 0.97341844,-2.235963e-02,-0.498461332,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0581_AC_WP20,WP20,WP,20,-8.89823583, 0.03674719,-1.484898e-01, 0.018674091,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0584_AC_WP20,WP20,WP,20,-8.97328112, 0.11270438,-1.395397e-01, 0.199674392,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0590_AC_WP20,WP20,WP,20,-8.57937349, 0.48063608, 3.011915e-01, 0.230578010,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0593_AC_SB20,SB20,SB,20, 0.60861850,-0.90425741,-6.583072e-01,-1.047475039,Clust3,Clust2,0.000010,0.169828,0.830152,0.000010,0.000010,0.999990
KP0596_AC_SB20,SB20,SB,20, 1.23842691,-1.10454656,-2.445086e-01,-0.247097164,Clust3,Clust2,0.000010,0.167394,0.832586,0.000010,0.003520,0.996480
KP0600_AC_SB20,SB20,SB,20, 0.74559603,-1.46629407,-1.048619e+00,-1.521431714,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0604_AC_SB20,SB20,SB,20, 0.81824635,-1.48456185,-1.525487e+00, 0.123129202,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0607_AC_SB20,SB20,SB,20,-8.31022104, 0.56782558, 1.964750e-01, 0.303018946,Clust1,Clust1,0.999964,0.000016,0.000010,0.000010,0.999990,0.000010
KP0608_AC_SB20,SB20,SB,20, 1.20266981, 1.30078649, 2.193152e-01,-0.389887263,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0611_LM_SB20,SB20,SB,20, 0.57634146,-1.56137904,-1.117886e+00, 0.187893711,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.006815,0.993185
KP0625_AC_SB20,SB20,SB,20, 0.73728520,-1.49850816,-8.523524e-01,-1.630813959,Clust3,Clust2,0.012092,0.064528,0.923370,0.000010,0.010588,0.989412
KP0626_AC_SB20,SB20,SB,20, 0.73165315,-1.30321669,-6.661425e-01, 0.292159847,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0636_AC_SB20,SB20,SB,20, 0.04282858,-1.26862827,-1.017718e+00,-0.509641134,Clust3,Clust2,0.024411,0.000010,0.975569,0.000010,0.060542,0.939458
KP0638_AC_SB20,SB20,SB,20, 0.43638410,-0.93284833,-8.162464e-01, 0.569555923,Clust3,Clust2,0.000010,0.096293,0.769691,0.134006,0.001873,0.998127
KP0640_AC_SB20,SB20,SB,20, 1.54470475,-2.02114949,-7.413117e-01,-0.844769481,Clust3,Clust2,0.000010,0.000010,0.923451,0.076529,0.000010,0.999990
KP0643_AC_SB20,SB20,SB,20, 1.37767519,-1.13627238,-1.594491e+00, 0.174153940,Clust3,Clust2,0.000010,0.059272,0.940708,0.000010,0.000010,0.999990
KP0645_AC_SB20,SB20,SB,20, 0.61539225,-1.84024922,-1.148210e+00,-0.214479000,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0646_AC_SB20,SB20,SB,20, 0.79518076,-1.23883616,-1.113187e+00,-0.509513496,Clust3,Clust2,0.000010,0.045534,0.954446,0.000010,0.000010,0.999990
KP0647_AC_SB20,SB20,SB,20, 0.59362648,-2.20859317,-5.956646e-01,-1.010664783,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.011891,0.988109
KP0648_AC_SB20,SB20,SB,20, 0.06204593,-1.20485789,-4.733025e-01,-0.827707031,Clust3,Clust2,0.035482,0.096702,0.867806,0.000010,0.060739,0.939261
KP0649_AC_SB20,SB20,SB,20, 1.17335958,-1.44810824,-3.158295e-01,-0.574829935,Clust3,Clust2,0.000010,0.092972,0.773000,0.134018,0.000010,0.999990
KP0652_AC_SB20,SB20,SB,20, 0.84516776,-1.08762719,-8.980357e-01,-0.429508884,Clust3,Clust2,0.000010,0.058377,0.807501,0.134111,0.000010,0.999990
KP0654_AC_SB20,SB20,SB,20, 0.70050048,-1.22194539,-5.231934e-01,-0.272738515,Clust3,Clust2,0.000010,0.000010,0.993712,0.006268,0.000010,0.999990
KP0660_AC_SB20,SB20,SB,20, 0.92688058,-1.54206798,-6.610207e-01,-1.024428804,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0661_AC_SB20,SB20,SB,20, 0.44351831,-0.95499112,-8.989579e-01,-0.145212026,Clust3,Clust2,0.000010,0.056791,0.892933,0.050266,0.000010,0.999990
KP0662_AC_SB20,SB20,SB,20, 0.69089911,-1.11807739,-1.231727e+00,-0.384078337,Clust3,Clust2,0.000010,0.001738,0.998242,0.000010,0.009934,0.990066
KP0665_AC_SB20,SB20,SB,20, 1.08917576,-0.85644362,-1.090308e+00, 0.181521286,Clust3,Clust2,0.000010,0.096802,0.903178,0.000010,0.025264,0.974736
KP0667_AC_SB20,SB20,SB,20, 0.83702952,-1.38004160,-4.079759e-01,-0.595343658,Clust3,Clust2,0.009142,0.000010,0.924134,0.066714,0.024737,0.975263
KP0668_AC_SB20,SB20,SB,20, 0.64559237,-1.28654186,-9.350785e-01, 0.469626176,Clust3,Clust2,0.023206,0.000010,0.976774,0.000010,0.040843,0.959157
KP0669_AC_SB20,SB20,SB,20, 0.58344466,-1.36038222,-1.161637e+00, 0.436482935,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0678_AC_SB20,SB20,SB,20,-8.47368981,-0.09651314, 9.483892e-02, 0.488217849,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0679_AC_SB20,SB20,SB,20, 0.25676888,-1.52657987,-1.144777e+00,-0.394872700,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.042179,0.957821
KP0686_AC_SB20,SB20,SB,20, 0.58411780,-1.33066477,-5.453606e-01,-0.412492176,Clust3,Clust2,0.000010,0.012492,0.987488,0.000010,0.000010,0.999990
KP0688_AC_SB20,SB20,SB,20, 0.63221157,-2.25358901,-4.919409e-01,-0.515253213,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.010572,0.989428
KP0690_AC_SB20,SB20,SB,20,-8.22269076, 0.27224266, 1.556698e-01, 0.462368926,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0691_AC_SB20,SB20,SB,20, 0.40057460,-1.61324223,-7.030948e-01,-1.511138261,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.023507,0.976493
KP0696_AC_SB20,SB20,SB,20,-8.43679645, 0.31855369, 1.974792e-01, 0.273934791,Clust1,Clust1,0.999968,0.000010,0.000012,0.000010,0.999990,0.000010
KP0698_AC_SB20,SB20,SB,20, 0.76221868,-1.98661936,-4.306302e-01,-0.749688525,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0703_AC_SB20,SB20,SB,20, 0.44775569,-1.13774363,-1.133389e+00,-1.111929649,Clust3,Clust2,0.000010,0.122736,0.877244,0.000010,0.000010,0.999990
KP0704_AC_SB20,SB20,SB,20, 0.51281356,-1.82804393,-1.401742e+00, 0.128316501,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0708_AC_SB20,SB20,SB,20, 0.58946751,-1.97259500,-8.530224e-01,-0.819065411,Clust3,Clust2,0.000010,0.000010,0.882541,0.117439,0.031150,0.968850
KP0711_AC_SB20,SB20,SB,20, 0.68352520,-1.20630908,-7.212197e-01,-0.427287546,Clust3,Clust2,0.000010,0.015892,0.984088,0.000010,0.001690,0.998310
KP0712_AC_SB20,SB20,SB,20, 0.75528817,-0.68046135,-5.410035e-01, 0.239854030,Clust3,Clust2,0.000010,0.094176,0.905804,0.000010,0.000010,0.999990
KP0714_AC_SB20,SB20,SB,20, 0.60165731,-1.95090646,-2.054428e+00,-0.072183009,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.017644,0.982356
KP0717_AC_SB20,SB20,SB,20, 0.58447592,-1.39264898,-1.110579e+00, 1.041910586,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0720_AC_SB20,SB20,SB,20, 0.73222949,-1.38178753,-9.443989e-01,-0.566071686,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0724_AC_SB20,SB20,SB,20, 0.60698576,-0.31241333,-4.124646e-01, 0.183069045,Clust3,Clust2,0.000010,0.246850,0.753130,0.000010,0.000010,0.999990
KP0727_AC_SB20,SB20,SB,20, 0.60631275,-1.29076513,-3.152626e-01,-0.561004585,Clust3,Clust2,0.000010,0.000010,0.906706,0.093274,0.020321,0.979679
KP0730_AC_SB20,SB20,SB,20, 0.93305516,-1.19747698,-4.150241e-01,-0.559171462,Clust3,Clust2,0.000010,0.099338,0.875616,0.025036,0.000010,0.999990
KP0734_AC_SB20,SB20,SB,20, 0.36989120,-1.39097206,-3.092831e-01,-0.199691817,Clust3,Clust2,0.000911,0.055118,0.539912,0.404059,0.022212,0.977788
KP0742_AC_WP10,WP10,WP,10-12, 1.03111085, 1.33991564, 1.281138e-01, 0.461537279,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0746_AC_WP10,WP10,WP,10-12, 1.13455604, 1.94178260,-1.807127e-01,-0.001633241,Clust2,Clust2,0.000010,0.944575,0.055405,0.000010,0.000010,0.999990
KP0747_AC_WP20,WP20,WP,20, 1.17844758, 1.17532900, 3.976179e-02,-0.004977558,Clust2,Clust2,0.000010,0.977421,0.000010,0.022559,0.000010,0.999990
KP0748_AC_WP10,WP10,WP,10-12, 1.24487324, 1.30031284,-3.887120e-01, 0.385088311,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0749_AC_WP20,WP20,WP,20, 1.15037638, 0.90084967,-3.590936e-01, 0.501286642,Clust2,Clust2,0.000010,0.985173,0.014807,0.000010,0.000010,0.999990
KP0751_AC_WP10,WP10,WP,10-12, 1.12849593, 1.63410892,-2.663815e-01, 0.015413173,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0753_AC_WP10,WP10,WP,10-12, 1.01406894, 0.99299451, 6.308931e-01,-0.121049203,Clust2,Clust2,0.000010,0.838043,0.080082,0.081865,0.000010,0.999990
KP0757_AC_WP10,WP10,WP,10-12, 1.09100523, 1.49611338, 9.599612e-03, 0.022559084,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0758_AC_WP10,WP10,WP,10-12, 1.17409449, 0.97864578,-1.711069e-01,-0.221909410,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0760_AC_WP10,WP10,WP,10-12, 1.37764995, 1.23010120,-1.279674e-01, 0.750738587,Clust2,Clust2,0.000010,0.882109,0.000010,0.117871,0.000010,0.999990
KP0761_AC_WP10,WP10,WP,10-12, 1.36848957, 1.88861988,-3.799556e-01,-0.183160290,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0767_AC_WP10,WP10,WP,10-12, 0.93997365, 1.34974085,-3.398689e-01, 0.559683786,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0769_AC_WP10,WP10,WP,10-12,-8.93426644, 0.35463796, 5.775707e-01,-0.424481047,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0771_AC_WP10,WP10,WP,10-12, 1.26398210, 1.89379277,-1.841845e-01, 0.518220790,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0773_AC_WP10,WP10,WP,10-12, 0.96100708, 1.78787394, 1.314814e-01, 1.018956046,Clust2,Clust2,0.000010,0.930706,0.069274,0.000010,0.000010,0.999990
KP0777_AC_WP10,WP10,WP,10-12, 0.68004617, 0.80957836,-4.638961e-01,-0.526392065,Clust2,Clust2,0.000010,0.834211,0.165769,0.000010,0.000010,0.999990
KP0779_AC_WP10,WP10,WP,10-12, 1.36752729, 1.17322491, 2.027702e-01,-0.519192722,Clust2,Clust2,0.000010,0.998770,0.000010,0.001210,0.000010,0.999990
KP0787_AC_WP10,WP10,WP,10-12, 0.98173321, 0.72262221, 5.061682e-01, 0.771430871,Clust2,Clust2,0.000010,0.930433,0.007864,0.061693,0.000010,0.999990
KP0792_AC_WP10,WP10,WP,10-12, 1.08994949, 1.81956350, 8.186548e-02, 1.211807151,Clust2,Clust2,0.000010,0.984675,0.015305,0.000010,0.000010,0.999990
KP0793_AC_WP10,WP10,WP,10-12, 0.74936374, 1.16307291, 3.864328e-01,-0.289661777,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0794_AC_WP10,WP10,WP,10-12, 1.57750833, 1.46903291,-3.586815e-01,-0.354343965,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0797_AC_WP10,WP10,WP,10-12, 1.07214396, 1.48593635,-5.278470e-01, 0.279487420,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0799_AC_WP10,WP10,WP,10-12, 0.97547850, 1.33014137,-5.685128e-01,-0.469961769,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0802_AC_WP10,WP10,WP,10-12, 1.23459942, 1.00627507,-7.874585e-01,-0.118457111,Clust2,Clust2,0.000010,0.882242,0.117738,0.000010,0.000010,0.999990
KP0808_AC_WP10,WP10,WP,10-12, 0.45543801, 1.33072944, 2.908706e-01, 0.176835708,Clust2,Clust2,0.008395,0.991585,0.000010,0.000010,0.000010,0.999990
KP0811_AC_WP10,WP10,WP,10-12, 1.44982073, 1.37440065,-1.364463e-01,-0.066732298,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0812_AC_WP10,WP10,WP,10-12, 1.34401255, 1.70560376,-7.255715e-01, 0.039393226,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0815_AC_WP10,WP10,WP,10-12, 0.99481330, 0.80122634,-1.890539e-01, 0.478746396,Clust2,Clust2,0.000010,0.888964,0.111016,0.000010,0.000010,0.999990
KP0822_AC_WP10,WP10,WP,10-12, 1.04573882, 0.66927886, 7.696484e-02,-0.544910441,Clust2,Clust2,0.000010,0.940829,0.007147,0.052014,0.000010,0.999990
KP0823_AC_WP10,WP10,WP,10-12, 1.42070168, 0.41054182, 6.018368e-01,-0.128183768,Clust2,Clust2,0.000010,0.825018,0.000010,0.174962,0.000010,0.999990
KP0828_AC_WP10,WP10,WP,10-12, 0.86008681, 0.82851925, 1.588277e-01,-0.734646589,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0830_AC_WP10,WP10,WP,10-12, 1.49679562, 1.09502832, 3.443631e-01,-0.315258456,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0835_AC_WP10,WP10,WP,10-12, 0.92923480, 1.70913192,-7.740761e-01, 0.488164393,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0837_AC_WP10,WP10,WP,10-12, 0.90852716,-1.57827793,-4.849345e-01,-1.639137448,Clust3,Clust2,0.000010,0.052436,0.826107,0.121447,0.000010,0.999990
KP0844_UN_NANA,WP10,WP,10-12, 1.43706079, 1.17788320, 7.635641e-01,-1.003825456,Clust2,Clust2,0.000010,0.957932,0.000010,0.042048,0.000010,0.999990
KP0857_AC_WP10,WP10,WP,10-12, 0.91546766, 1.79532059, 3.237444e-02,-1.087319872,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0861_AC_WP10,WP10,WP,10-12, 1.39565695, 1.31665578, 8.553485e-02,-0.501987181,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0866_AC_WP10,WP10,WP,10-12, 0.99940132, 0.90752320, 2.258281e-02, 0.397027070,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0871_AC_WP10,WP10,WP,10-12, 1.69203326, 0.97724667, 2.244213e-02, 0.565569057,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0879_AC_WP10,WP10,WP,10-12, 1.34228271, 1.49148685, 6.422557e-02, 1.337874551,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0880_HU_WP10,WP10,WP,10-12, 1.20729353, 1.39858395,-3.834516e-01,-0.994551702,Clust2,Clust2,0.000010,0.956850,0.000010,0.043130,0.000010,0.999990
KP0881_AC_WP10,WP10,WP,10-12, 1.51958471, 1.45382533,-2.815894e-01, 0.304438692,Clust2,Clust2,0.000010,0.961921,0.000010,0.038059,0.000010,0.999990
KP0882_AC_WP10,WP10,WP,10-12, 1.32782455, 1.72282396, 2.436650e-01,-0.274602768,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0883_AC_WP10,WP10,WP,10-12, 1.13480920, 1.27766470, 3.644607e-01,-0.585061821,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0884_AC_WP10,WP10,WP,10-12, 0.88247852, 0.76869476, 3.123675e-01, 0.649461972,Clust2,Clust2,0.000010,0.971952,0.000010,0.028028,0.000010,0.999990
KP0887_AC_WP10,WP10,WP,10-12, 1.02491644, 1.52604639,-1.063037e-01, 0.001818773,Clust2,Clust2,0.000010,0.907337,0.000010,0.092643,0.000010,0.999990
KP0895_AC_WP10,WP10,WP,10-12, 1.25172569, 1.41329397,-3.416348e-01, 0.432632614,Clust2,Clust2,0.008149,0.991831,0.000010,0.000010,0.000010,0.999990
KP0897_AC_WP10,WP10,WP,10-12, 0.56977179, 1.04692496, 3.728332e-02,-0.014304387,Clust2,Clust2,0.005311,0.994669,0.000010,0.000010,0.000010,0.999990
KP0898_AC_WP10,WP10,WP,10-12, 1.50543212, 1.18814083,-3.070361e-01, 0.369372637,Clust2,Clust2,0.000010,0.956099,0.043881,0.000010,0.000010,0.999990
KP0909_AC_WP10,WP10,WP,10-12, 0.74472624, 1.69313811,-4.457729e-01,-0.831306623,Clust2,Clust2,0.003751,0.996229,0.000010,0.000010,0.006112,0.993888
KP0912_AC_WP10,WP10,WP,10-12, 1.24769990, 1.86872171,-2.621190e-01,-0.721959924,Clust2,Clust2,0.000010,0.967957,0.032023,0.000010,0.000010,0.999990
KP0913_AC_WP10,WP10,WP,10-12, 1.14090045, 1.15718613,-3.538243e-01,-0.563643379,Clust2,Clust2,0.000010,0.967181,0.032799,0.000010,0.000010,0.999990
KP0915_AC_WP10,WP10,WP,10-12, 1.11778793, 1.64212985,-2.140167e-01,-1.384773503,Clust2,Clust2,0.000012,0.999968,0.000010,0.000010,0.000010,0.999990
KP0916_AC_WP10,WP10,WP,10-12, 1.12081061, 0.85206581, 5.015358e-01,-1.029156349,Clust2,Clust2,0.000016,0.871823,0.000010,0.128151,0.000010,0.999990
KP0917_AC_WP10,WP10,WP,10-12, 1.68271502, 1.86242153,-8.880418e-01, 0.575422048,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0918_AC_WP10,WP10,WP,10-12, 1.29719048, 1.33571702, 2.800621e-01,-0.264627984,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0919_AC_WP10,WP10,WP,10-12, 1.06763644, 0.86484920,-1.234262e-01, 0.732092977,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0926_AC_WP10,WP10,WP,10-12, 1.09520997, 1.77710932,-5.026055e-02,-0.474622028,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0928_AC_WP10,WP10,WP,10-12, 1.15342251, 0.86882218,-5.041348e-01, 0.039173998,Clust2,Clust2,0.000010,0.987106,0.012874,0.000010,0.000010,0.999990
KP0930_AC_WP10,WP10,WP,10-12, 0.41908167, 1.11392020,-2.686913e-01, 1.176102919,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0931_AC_WP10,WP10,WP,10-12, 0.90030514, 1.64610283, 4.924280e-01,-0.671505844,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0932_AC_WP10,WP10,WP,10-12, 0.31265517, 0.92979018,-3.118375e-01, 1.172676923,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000159,0.999841
KP0933_AC_WP10,WP10,WP,10-12, 1.06663246, 1.73341131,-6.089222e-01,-0.290466395,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0934_AC_WP10,WP10,WP,10-12, 1.31455960, 0.86816060,-1.510823e-01,-0.130516670,Clust2,Clust2,0.000010,0.996980,0.003000,0.000010,0.000010,0.999990
KP0936_AC_WP10,WP10,WP,10-12, 1.08067470, 1.65591384, 1.324843e-01, 0.135181124,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0937_AC_WP10,WP10,WP,10-12, 1.47259048, 1.38795874,-1.480765e-02, 0.801415866,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0938_HU_WP10,WP10,WP,10-12,-8.99539995, 0.20804376,-1.602708e-01,-0.693325402,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0940_AC_WP10,WP10,WP,10-12, 1.32539972, 1.33276036,-1.193678e-01,-0.242750059,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0942_AC_WP10,WP10,WP,10-12, 1.76201743, 1.61579549,-1.218286e+00,-1.025546428,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0945_AC_WP10,WP10,WP,10-12, 1.12951119, 1.02811724, 5.973655e-02,-0.360974008,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0947_AC_WP10,WP10,WP,10-12, 1.02003053, 1.59037277, 2.719784e-03,-0.432268132,Clust2,Clust2,0.002975,0.987426,0.009589,0.000010,0.003619,0.996381
KP0950_AC_WP05,WP05,WP,5, 0.89908763, 1.13988735, 1.746380e-01, 0.110180020,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0953_AC_WP10,WP10,WP,10-12, 1.62702936, 1.96617282,-9.004018e-01,-0.639711062,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0962_AC_WP05,WP05,WP,5, 1.28926223, 1.35076699,-5.510886e-01,-0.491473987,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0965_AC_WP05,WP05,WP,5, 1.28639934, 1.06480874, 1.115389e-02,-0.865271681,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0966_AC_WP05,WP05,WP,5, 0.81031036, 0.79814424,-3.201971e-02,-1.110982465,Clust2,Clust2,0.000010,0.982048,0.017932,0.000010,0.000010,0.999990
KP0967_HU_WP05,WP05,WP,5, 1.32968023, 0.71783035,-4.159665e-01, 0.241301777,Clust2,Clust2,0.000010,0.975013,0.024967,0.000010,0.000010,0.999990
KP0974_AC_WP05,WP05,WP,5, 1.03779542, 1.22971171,-8.344070e-01,-0.115876986,Clust2,Clust2,0.000010,0.869973,0.130007,0.000010,0.000010,0.999990
KP0977_AC_WP05,WP05,WP,5, 0.95039920, 1.21043144,-9.100842e-03, 0.061803642,Clust2,Clust2,0.000010,0.992179,0.007801,0.000010,0.000010,0.999990
KP0978_AC_WP05,WP05,WP,5, 1.81137847, 1.23193219, 4.245918e-01,-0.146589789,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0981_AC_WP05,WP05,WP,5, 1.23039542, 1.29242957,-8.259141e-02,-0.050123112,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0982_AC_WP05,WP05,WP,5, 0.94506233, 1.26350426, 1.736552e-01,-0.410212893,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0992_AC_CA10,CA10,CA,10-12, 0.88945117,-1.72159630, 1.667336e+00,-0.164803573,Clust4,Clust2,0.000010,0.043937,0.010590,0.945463,0.004239,0.995761
KP0993_AC_CA10,CA10,CA,10-12, 0.96752364,-0.77322886, 1.077234e+00,-0.622791393,Clust4,Clust2,0.000010,0.150081,0.000010,0.849899,0.015472,0.984528
KP0999_AC_CA10,CA10,CA,10-12, 1.01249025,-1.43462214, 1.157916e+00,-0.142354116,Clust4,Clust2,0.000010,0.000010,0.159926,0.840054,0.011860,0.988140
KP1002_AC_WP10,WP10,WP,10-12, 0.70850121,-0.55806870, 6.649235e-01, 0.394056082,Clust4,Clust2,0.000010,0.233147,0.253768,0.513074,0.000010,0.999990
KP1009_AC_CA10,CA10,CA,10-12, 1.04197204,-1.40855125, 2.128388e+00,-0.139804233,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP1011_AC_CA10,CA10,CA,10-12, 0.92015923,-1.74118898, 2.856267e+00, 0.160604683,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP1012_AC_CA10,CA10,CA,10-12, 0.69610376,-1.17818493, 1.776334e+00,-0.212179259,Clust4,Clust2,0.000010,0.000010,0.018257,0.981723,0.000010,0.999990
KP1015_AC_CA10,CA10,CA,10-12, 1.18110600,-0.63205710, 1.936512e+00,-0.756470480,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP1019_AC_CA10,CA10,CA,10-12, 1.03388340,-1.08935667, 1.164270e+00, 0.474095125,Clust4,Clust2,0.000010,0.089048,0.000010,0.910932,0.000010,0.999990
KP1021_AC_CA10,CA10,CA,10-12, 1.32491523,-0.73241140, 1.820649e+00,-0.340433318,Clust4,Clust2,0.000010,0.026178,0.000010,0.973802,0.000010,0.999990
KP1022_AC_CA10,CA10,CA,10-12, 1.56527962,-1.36748833, 2.008830e+00,-0.981351052,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP1028_AC_CA10,CA10,CA,10-12, 0.85977254,-0.97258503, 1.943437e+00,-0.134099604,Clust4,Clust2,0.000010,0.158368,0.000010,0.841612,0.000010,0.999990
KP1029_AC_CA10,CA10,CA,10-12, 0.96057158,-1.56990505, 8.412364e-01, 0.193397840,Clust4,Clust2,0.000010,0.000010,0.273981,0.725999,0.000010,0.999990
KP1030_AC_CA10,CA10,CA,10-12, 1.17433295,-1.61135814, 1.648647e+00,-0.458219516,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
