Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,taxaQ.Clust1,taxaQ.Clust2
KP0355_AC_WP20,WP20,WP,20, 0.69122503, 1.07258370, 2.022473e-01, 0.274250927,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0360_AC_WP20,WP20,WP,20, 1.39890648, 1.27506402, 1.734311e-01, 0.305372868,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0365_AC_WP20,WP20,WP,20, 1.39473990, 1.32069662,-8.465766e-01, 0.553009416,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0368_AC_WP20,WP20,WP,20, 1.37986552, 0.44502311, 4.289160e-01,-0.187044479,Clust2,Clust2,0.000010,0.838945,0.043204,0.117841,0.000010,0.999990
KP0369_AC_WP20,WP20,WP,20,-8.58106472, 0.36066173,-3.729791e-01,-0.137000322,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0372_AC_WP20,WP20,WP,20, 0.56169314, 1.68973791, 4.143406e-03, 0.047555367,Clust2,Clust2,0.000010,0.968951,0.000010,0.031029,0.000010,0.999990
KP0374_AC_WP20,WP20,WP,20, 1.32504648, 1.30731726, 8.197094e-01,-0.028348903,Clust2,Clust2,0.000010,0.912300,0.000010,0.087680,0.000010,0.999990
KP0379_AC_WP20,WP20,WP,20,-6.12618770, 0.07215152, 2.327069e-01,-0.313600185,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0383_AC_WP20,WP20,WP,20, 1.14095725, 1.30037868,-2.760564e-01, 0.302244985,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0395_AC_WP20,WP20,WP,20,-9.05950313, 0.04967728,-8.499995e-02,-0.286897765,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
