Individuals,Clusters,Assignment,pop
NR5053_L2_CS15,Clust1,0.032538,NA
NR5242_L1_CK50,Clust1,0.034667,NA
NR5533_L2_CR15,Clust1,0.330931,NA
NR5534_L1_CR15,Clust1,0.066081,NA
KP0086_LM_SB10,Clust2,1e-05,SB10
KP0096_AC_SB10,Clust2,1e-05,SB10
KP0108_AC_SB10,Clust2,1e-05,SB10
KP0186_AC_SQ12,Clust2,1e-05,SQ12
KP0192_AC_SQ12,Clust2,1e-05,SQ12
KP0203_AC_SQ12,Clust2,1e-05,SQ12
KP0207_LM_SQ12,Clust2,1e-05,SQ12
KP0249_LM_SQ20,Clust2,1e-05,SQ20
KP0252_LM_SQ20,Clust2,1e-05,SQ20
KP0253_LM_SQ20,Clust2,1e-05,SQ20
KP0254_LM_SQ20,Clust2,1e-05,SQ20
KP0282_LM_SQ20,Clust2,1e-05,SQ20
KP0285_LM_SQ20,Clust2,1e-05,SQ20
KP0290_LM_WP20,Clust2,1e-05,WP20
KP0293_LM_WP20,Clust2,1e-05,WP20
KP0308_LM_WP20,Clust2,1e-05,WP20
KP0318_LM_WP20,Clust2,1e-05,WP20
KP0319_LM_WP20,Clust2,1e-05,WP20
KP0322_LM_WP20,Clust2,1e-05,WP20
KP0328_LM_WP20,Clust2,1e-05,WP20
KP0330_LM_WP20,Clust2,1e-05,WP20
KP0341_LM_WP20,Clust2,1e-05,WP20
KP0342_LM_WP20,Clust2,1e-05,WP20
KP0343_LM_WP20,Clust2,1e-05,WP20
KP0345_LM_WP20,Clust2,1e-05,WP20
KP0348_LM_WP20,Clust2,1e-05,WP20
KP0350_LM_WP20,Clust2,1e-05,WP20
KP0375_LM_WP20,Clust2,1e-05,WP20
KP0377_LM_WP20,Clust2,1e-05,WP20
KP0380_LM_WP20,Clust2,1e-05,WP20
KP0400_LM_WP20,Clust2,1e-05,WP20
KP0459_LM_WP20,Clust2,1e-05,WP20
KP0473_LM_WP20,Clust2,1e-05,WP20
KP0482_LM_WP20,Clust2,1e-05,WP20
KP0529_LM_WP20,Clust2,0.99996,WP20
KP0547_LM_WP20,Clust2,1e-05,WP20
KP0548_LM_WP20,Clust2,1e-05,WP20
KP0551_LM_WP20,Clust2,1e-05,WP20
KP0557_AC_WP20,Clust2,1e-05,WP20
KP0558_LM_WP20,Clust2,1e-05,WP20
KP0570_LM_WP20,Clust2,1e-05,WP20
KP0585_LM_WP20,Clust2,1e-05,WP20
KP0588_LM_WP20,Clust2,1e-05,WP20
