Individuals,Clusters,Assignment,pop
KP0423_HU_CA05,Clust1,0.365572,CA05
KP0425_HU_CA05,Clust1,1e-05,CA05
KP0426_HU_CA05,Clust1,1e-05,CA05
KP0427_HU_CA05,Clust1,0.203972,CA05
KP0428_HU_CA05,Clust1,0.190999,CA05
KP0429_HU_CA05,Clust1,1e-05,CA05
KP0432_HU_CA05,Clust1,0.380071,CA05
KP0434_HU_CA05,Clust1,0.449355,CA05
KP0435_HU_CA05,Clust1,0.195113,CA05
KP0436_HU_CA05,Clust1,1e-05,CA05
KP0437_HU_CA05,Clust1,1e-05,CA05
KP0438_HU_CA05,Clust1,1e-05,CA05
KP0439_HU_CA05,Clust1,0.207296,CA05
KP0442_HU_CA05,Clust1,0.643895,CA05
KP0474_AC_WP20,Clust1,0.99997,WP20
KP0540_AC_WP20,Clust1,0.964616,WP20
KP0552_AC_WP20,Clust1,0.357974,WP20
KP0582_AC_WP20,Clust1,0.7842,WP20
KP0639_LM_SB20,Clust1,0.374862,SB20
KP0739_HU_WP10,Clust1,0.969281,WP10
KP0740_HU_WP10,Clust1,0.99997,WP10
KP0744_HU_WP10,Clust1,1e-05,WP10
KP0764_HU_WP10,Clust1,0.99997,WP10
KP0768_HU_WP10,Clust1,1e-05,WP10
KP0770_AC_WP10,Clust1,1e-05,WP10
KP0774_AC_WP10,Clust1,1e-05,WP10
KP0775_AC_WP10,Clust1,1e-05,WP10
KP0783_HU_WP10,Clust1,1e-05,WP10
KP0785_AC_WP10,Clust1,0.551086,WP10
KP0786_HU_WP10,Clust1,0.447088,WP10
KP0789_HU_WP10,Clust1,0.99997,WP10
KP0798_HU_WP10,Clust1,0.99997,WP10
KP0803_HU_WP10,Clust1,0.689041,WP10
KP0805_HU_WP10,Clust1,0.980123,WP10
KP0814_HU_WP10,Clust1,0.99997,WP10
KP0818_HU_WP10,Clust1,1e-05,WP10
KP0826_AC_WP10,Clust1,1e-05,WP10
KP0827_AC_WP10,Clust1,0.750222,WP10
KP0829_AC_WP10,Clust1,0.99997,WP10
KP0831_HU_WP10,Clust1,0.813295,WP10
KP0838_AC_WP10,Clust1,0.99997,WP10
KP0839_HU_WP10,Clust1,0.713005,WP10
KP0841_AC_WP10,Clust1,0.882837,WP10
KP0845_AC_WP10,Clust1,0.736174,WP10
KP0847_HU_WP10,Clust1,0.99997,WP10
KP0850_AC_WP10,Clust1,0.740747,WP10
KP0853_HU_WP10,Clust1,0.502311,WP10
KP0859_HU_WP10,Clust1,0.936078,WP10
KP0875_AC_WP10,Clust1,0.663432,WP10
KP0876_HU_WP10,Clust1,0.797966,WP10
KP0877_HU_WP10,Clust1,0.99997,WP10
KP0878_AC_WP10,Clust1,0.997553,WP10
KP0886_AC_WP10,Clust1,1e-05,WP10
KP0888_AC_WP10,Clust1,1e-05,WP10
KP0899_LM_WP10,Clust1,0.511424,WP10
KP0901_HU_WP10,Clust1,1e-05,WP10
KP0903_HU_WP10,Clust1,0.100818,WP10
KP0906_AC_WP10,Clust1,1e-05,WP10
KP0920_HU_WP10,Clust1,0.99997,WP10
KP0922_AC_WP10,Clust1,0.99997,WP10
KP0935_AC_WP10,Clust1,0.670402,WP10
KP0941_HU_WP10,Clust1,0.99997,WP10
KP0948_AC_WP10,Clust1,0.964954,WP10
KP0951_HU_WP10,Clust1,1e-05,WP10
KP0954_HU_WP05,Clust1,1e-05,WP05
KP0956_HU_WP05,Clust1,0.20238,WP05
KP0957_HU_WP05,Clust1,1e-05,WP05
KP0958_HU_WP05,Clust1,1e-05,WP05
KP0959_HU_WP05,Clust1,1e-05,WP05
KP0960_HU_WP05,Clust1,1e-05,WP05
KP0961_HU_WP05,Clust1,1e-05,WP05
KP0963_HU_WP05,Clust1,0.899402,WP05
KP0964_HU_WP05,Clust1,1e-05,WP05
KP0968_HU_WP05,Clust1,0.77457,WP05
KP0970_HU_WP05,Clust1,0.840314,WP05
KP0971_HU_WP05,Clust1,0.45713,WP05
KP0972_HU_WP05,Clust1,1e-05,WP05
KP0973_HU_WP05,Clust1,1e-05,WP05
KP0979_HU_WP05,Clust1,1e-05,WP05
KP0980_HU_WP05,Clust1,1e-05,WP05
KP0984_HU_WP05,Clust1,0.303387,WP05
