Individuals,Clusters,Assignment,pop
KP0218_AC_SQ20,Clust1,0.99997,SQ20
KP0220_AC_SQ20,Clust1,0.018698,SQ20
KP0222_AC_SQ20,Clust1,1e-05,SQ20
KP0225_AC_SQ20,Clust1,1e-05,SQ20
KP0229_AC_SQ20,Clust1,1e-05,SQ20
KP0235_AC_SQ20,Clust1,0.99997,SQ20
KP0236_AC_SQ20,Clust1,1e-05,SQ20
KP0237_AC_SQ20,Clust1,1e-05,SQ20
KP0241_AC_SQ20,Clust1,0.99997,SQ20
KP0242_AC_SQ20,Clust1,1e-05,SQ20
KP0243_AC_SQ20,Clust1,0.99997,SQ20
KP0247_AC_SQ20,Clust1,0.99997,SQ20
KP0251_AC_SQ20,Clust1,1e-05,SQ20
KP0255_AC_SQ20,Clust1,0.99997,SQ20
KP0257_AC_SQ20,Clust1,1e-05,SQ20
KP0259_AC_SQ20,Clust1,0.99997,SQ20
KP0261_AC_SQ20,Clust1,1e-05,SQ20
KP0269_AC_SQ20,Clust1,0.001303,SQ20
KP0272_AC_SQ20,Clust1,1e-05,SQ20
KP0279_AC_SQ20,Clust1,1e-05,SQ20
KP0284_AC_SQ20,Clust1,1e-05,SQ20
KP0289_AC_WP20,Clust1,1e-05,WP20
KP0291_AC_WP20,Clust1,1e-05,WP20
KP0292_AC_WP20,Clust1,1e-05,WP20
KP0294_AC_WP20,Clust1,1e-05,WP20
KP0296_AC_WP20,Clust1,1e-05,WP20
KP0301_AC_WP20,Clust1,0.007183,WP20
KP0304_AC_WP20,Clust1,1e-05,WP20
KP0305_AC_WP20,Clust1,1e-05,WP20
KP0311_AC_WP20,Clust1,0.99997,WP20
KP0314_AC_WP20,Clust1,1e-05,WP20
KP0317_AC_WP20,Clust1,1e-05,WP20
KP0323_AC_WP20,Clust1,1e-05,WP20
KP0326_AC_WP20,Clust1,1e-05,WP20
KP0329_AC_WP20,Clust1,1e-05,WP20
KP0332_AC_WP20,Clust1,1e-05,WP20
KP0335_AC_WP20,Clust1,1e-05,WP20
KP0340_AC_WP20,Clust1,0.001456,WP20
KP0346_AC_WP20,Clust1,1e-05,WP20
KP0347_AC_WP20,Clust1,0.99997,WP20
KP0354_AC_WP20,Clust1,1e-05,WP20
KP0355_AC_WP20,Clust1,1e-05,WP20
KP0360_AC_WP20,Clust1,1e-05,WP20
KP0365_AC_WP20,Clust1,1e-05,WP20
KP0368_AC_WP20,Clust1,1e-05,WP20
KP0369_AC_WP20,Clust1,0.99997,WP20
KP0372_AC_WP20,Clust1,1e-05,WP20
KP0374_AC_WP20,Clust1,1e-05,WP20
KP0379_AC_WP20,Clust1,0.99997,WP20
KP0383_AC_WP20,Clust1,1e-05,WP20
KP0395_AC_WP20,Clust1,0.99997,WP20
KP0396_AC_WP20,Clust1,0.999962,WP20
KP0399_LM_WP20,Clust1,0.99997,WP20
KP0405_AC_WP20,Clust1,1e-05,WP20
KP0406_NA_NANA,Clust1,1e-05,WP20
KP0407_AC_CA05,Clust1,1e-05,CA05
KP0408_AC_CA05,Clust1,0.001276,CA05
KP0409_AC_CA05,Clust1,1e-05,CA05
KP0424_AC_CA05,Clust1,1e-05,CA05
KP0431_HU_CA05,Clust1,1e-05,CA05
KP0441_AC_CA05,Clust1,1e-05,CA05
KP0450_AC_WP20,Clust1,1e-05,WP20
KP0452_AC_WP20,Clust1,0.99997,WP20
KP0454_AC_WP20,Clust1,1e-05,WP20
KP0457_AC_WP20,Clust1,1e-05,WP20
KP0462_AC_WP20,Clust1,1e-05,WP20
KP0463_AC_WP20,Clust1,0.99997,WP20
KP0464_AC_WP20,Clust1,1e-05,WP20
KP0468_AC_WP20,Clust1,1e-05,WP20
KP0470_AC_WP20,Clust1,1e-05,WP20
KP0471_AC_WP20,Clust1,1e-05,WP20
KP0477_AC_WP20,Clust1,1e-05,WP20
KP0479_AC_WP20,Clust1,1e-05,WP20
KP0481_AC_WP20,Clust1,1e-05,WP20
KP0484_AC_WP20,Clust1,1e-05,WP20
KP0485_AC_WP20,Clust1,1e-05,WP20
KP0486_AC_WP20,Clust1,0.99997,WP20
KP0487_AC_WP20,Clust1,1e-05,WP20
KP0489_AC_WP20,Clust1,1e-05,WP20
KP0490_AC_WP20,Clust1,1e-05,WP20
KP0491_AC_WP20,Clust1,1e-05,WP20
KP0494_AC_WP20,Clust1,1e-05,WP20
KP0505_AC_WP20,Clust1,1e-05,WP20
KP0508_AC_WP20,Clust1,1e-05,WP20
KP0512_AC_WP20,Clust1,1e-05,WP20
KP0516_AC_WP20,Clust1,1e-05,WP20
KP0521_AC_WP20,Clust1,1e-05,WP20
KP0523_AC_WP20,Clust1,0.014305,WP20
KP0530_AC_WP20,Clust1,0.013919,WP20
KP0532_AC_WP20,Clust1,1e-05,WP20
KP0533_AC_WP20,Clust1,1e-05,WP20
KP0535_AC_WP20,Clust1,1e-05,WP20
KP0536_AC_WP20,Clust1,1e-05,WP20
KP0537_AC_WP20,Clust1,1e-05,WP20
KP0545_AC_WP20,Clust1,0.005413,WP20
KP0546_AC_WP20,Clust1,1e-05,WP20
KP0554_AC_WP20,Clust1,1e-05,WP20
KP0559_AC_WP20,Clust1,0.99997,WP20
KP0563_AC_WP20,Clust1,0.99997,WP20
KP0568_AC_WP20,Clust1,1e-05,WP20
KP0569_AC_WP20,Clust1,0.99997,WP20
KP0571_AC_WP20,Clust1,1e-05,WP20
KP0572_AC_WP20,Clust1,1e-05,WP20
KP0575_AC_WP20,Clust1,0.99997,WP20
KP0576_AC_WP20,Clust1,0.99997,WP20
KP0579_AC_WP20,Clust1,1e-05,WP20
KP0581_AC_WP20,Clust1,0.99997,WP20
KP0584_AC_WP20,Clust1,0.99997,WP20
KP0590_AC_WP20,Clust1,0.99997,WP20
KP0593_AC_SB20,Clust1,1e-05,SB20
KP0596_AC_SB20,Clust1,1e-05,SB20
KP0600_AC_SB20,Clust1,1e-05,SB20
