Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6,Clusters,Taxa,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0134_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.37332778, 7.5928820, 1.841130e-01, 1.1647793558, 7.502787e-02, 6.291120e-03,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0135_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.30569135, 7.7660075, 7.248068e-02,-3.0194810932,-6.626739e-02,-6.435404e-03,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0138_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.32118051, 7.8430274,-1.462489e-02,-0.6598283066,-2.594428e-02, 1.500537e-01,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0140_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.21110859, 7.6082834, 1.291040e-01,-2.8855970104,-1.229759e-01, 5.786720e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0142_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.23740513, 7.8662677, 8.823628e-02,-2.7441863935,-1.240437e-01,-6.064413e-02,Clust3,Clust3,0.000020,0.000010,0.999970,0.000010,0.000010,0.999970,0.000010
KP0143_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.24252763, 8.0512850, 1.050864e-02,-0.9271933694,-3.446671e-02, 1.951654e-01,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0145_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.18097240, 7.9436372, 1.335920e-01,-2.6140011351,-5.540537e-02,-6.939492e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0146_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.13201281, 7.3608015, 1.805128e-01,-2.9659537647,-8.751785e-02,-5.962803e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0147_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.24786216, 7.8999133, 1.291086e-01,-2.8068560970,-6.857975e-02,-4.235171e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0148_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.35985539, 7.4321123, 1.480445e-01,-2.7135833544,-5.119026e-02,-4.920419e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0149_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.25775496, 7.7936063, 9.537899e-02,-2.7710328449,-4.012437e-02,-5.883812e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0153_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.33351039,-2.3689501,-3.058525e-01,-0.0060104512, 4.404479e-02, 5.589838e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0158_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.51295956,-2.5499766,-8.380470e-01, 0.0024210098,-8.245556e-02, 1.064370e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0162_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.58054744,-2.5635492,-5.909486e-01,-0.0166304299,-1.389181e-02, 4.447739e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0167_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.44561935,-2.4797123,-2.993210e-01, 0.0158494343,-1.639583e-02, 6.960240e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0168_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.44664099,-2.4985737,-2.883414e-01, 0.0029689852,-5.555552e-02, 8.977312e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0171_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.54235006,-2.5269033,-6.498434e-01,-0.0184920767,-5.159434e-02, 1.067463e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0172_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  2.44260283,-0.1038587,-7.646502e-01, 0.2543080045,-1.650746e-02, 5.128884e-01,Clust1,NA,0.794608,0.000010,0.205382,0.794605,0.000010,0.205375,0.000010
KP0176_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.58315916,-2.5489373,-7.454607e-01,-0.0123953431, 2.836768e-02, 5.126910e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0181_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.29372175,-2.3502639,-6.657505e-01,-0.0314632806, 4.148664e-02, 1.856441e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0184_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  0.23656835, 8.5957696,-1.297110e-01, 1.6502316277,-3.745146e-04, 1.338492e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0186_AC_SQ12,AL,AC_SQ12,SQ,SQ12,10-12,-11.07526211,-1.9415105,-3.896894e-02, 0.0411768871,-1.399984e+00, 4.385815e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0187_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.51746658,-2.5102779,-7.269131e-01,-0.0236826890, 4.532259e-03, 4.368865e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0189_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.45776014,-2.4610535,-1.766343e-01, 0.0052991215,-2.717347e-02, 2.440176e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0190_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.47411020,-2.4277942,-4.593112e-01,-0.0571124104, 1.861310e-02, 1.105977e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0192_AC_SQ12,AL,AC_SQ12,SQ,SQ12,10-12,-11.20811198,-1.9400323,-4.071188e-02,-0.0356275904,-9.151032e-01,-8.393352e-03,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.032377,0.000010,0.967603
KP0197_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.49041381,-2.4326204, 1.166083e-01,-0.0252087278,-7.145233e-03, 3.221199e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0202_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.43650810,-2.4964346, 4.543133e-01, 0.0268702288,-2.706833e-02, 8.892006e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0203_AC_SQ12,AL,AC_SQ12,SQ,SQ12,10-12,-11.45105277,-1.9675472, 4.978149e-02, 0.0487642676,-9.209828e-01, 2.061748e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0207_LM_SQ12,AL,LM_SQ12,SQ,SQ12,10-12,-11.31226886,-1.9559505,-3.873626e-02, 0.1045588116,-1.103450e+00,-3.686959e-02,Clust4,Clust2,0.000010,0.999975,0.000015,0.000010,0.056383,0.000010,0.943597
KP0209_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  3.23983125,-2.3255548,-1.645805e-01,-0.0303406966, 5.030474e-02, 6.137634e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
