,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0901_HU_WP10,KP0901_HU_WP10,WP10,WP,10-12,2.31428978105817,9.38499344152583,0.0400149774952428,-0.632579836584083
KP0903_HU_WP10,KP0903_HU_WP10,WP10,WP,10-12,1.57897980510484,10.9650048688571,0.461975346781363,0.582835292246975
KP0906_AC_WP10,KP0906_AC_WP10,WP10,WP,10-12,14.8620488827574,-2.76901903059258,-0.406482116986461,0.271171330675647
KP0920_HU_WP10,KP0920_HU_WP10,WP10,WP,10-12,-5.90492297965955,-1.72039313492417,3.68754403240988,2.71706526813271
KP0922_AC_WP10,KP0922_AC_WP10,WP10,WP,10-12,-5.99811653115499,-1.82726441728465,3.79414726777869,2.3518009294086
KP0935_AC_WP10,KP0935_AC_WP10,WP10,WP,10-12,-3.79767373936615,0.21698317732498,2.30012733459495,-0.224031246382716
KP0941_HU_WP10,KP0941_HU_WP10,WP10,WP,10-12,-5.21514762427924,-1.12985155742933,3.14075787552802,2.1067955292132
KP0948_AC_WP10,KP0948_AC_WP10,WP10,WP,10-12,-6.14274450738499,-2.88705493576216,2.13423693764905,1.10551506931308
KP0951_HU_WP10,KP0951_HU_WP10,WP10,WP,10-12,15.1229914647258,-2.55428678012519,0.0911819804590516,-0.341687877580874
KP0954_HU_WP05,KP0954_HU_WP05,WP05,WP,5,2.95721195346063,12.9857059292814,-0.280655694239793,-0.0944691654156574
KP0956_HU_WP05,KP0956_HU_WP05,WP05,WP,5,1.15602620731896,8.55925920626914,-0.14828967605467,0.223609121596377
KP0957_HU_WP05,KP0957_HU_WP05,WP05,WP,5,2.68933164264025,11.7510924607577,-1.40534125386151,0.280630029968654
KP0958_HU_WP05,KP0958_HU_WP05,WP05,WP,5,2.79210292629166,12.6656642082657,-1.15399738627402,-1.05921253927174
KP0959_HU_WP05,KP0959_HU_WP05,WP05,WP,5,14.7872210960804,-3.12193563544493,-0.165168947540934,0.323021814785004
KP0960_HU_WP05,KP0960_HU_WP05,WP05,WP,5,15.7227565901052,-3.40042010551245,0.0506460740041971,0.183138643246339
KP0961_HU_WP05,KP0961_HU_WP05,WP05,WP,5,2.42070005906232,11.239186797905,-0.909594435702335,-0.50902603996511
KP0963_HU_WP05,KP0963_HU_WP05,WP05,WP,5,-4.37022955744585,-0.797565762081932,3.24172278922281,2.36602780656975
KP0964_HU_WP05,KP0964_HU_WP05,WP05,WP,5,2.72746023524621,12.3007889041197,-0.100649710499093,-1.42118087975422
KP0968_HU_WP05,KP0968_HU_WP05,WP05,WP,5,-4.80102604948556,0.108796271259742,2.23444895677596,0.457064084444479
KP0970_HU_WP05,KP0970_HU_WP05,WP05,WP,5,-5.57635438354973,-1.28839919751723,2.13771494855287,0.716383201755564
KP0971_HU_WP05,KP0971_HU_WP05,WP05,WP,5,-1.35865088790862,4.62419898989982,1.61453580293195,0.292936656671811
KP0972_HU_WP05,KP0972_HU_WP05,WP05,WP,5,14.6607616116963,-2.34949811624983,-0.0694537828659021,-0.0704448882328056
