,Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6
KP0186_AC_SQ12,KP0186_AC_SQ12,AL,AC_SQ12,SQ,SQ12,10-12,-11.0752621096317,-1.94151046332614,-0.0389689403869317,0.0411768870846686,-1.39998427893975,0.0438581468743152
KP0187_AC_SQ12,KP0187_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,3.51746658177963,-2.51027791974698,-0.726913137397156,-0.0236826889964405,0.00453225898766417,0.436886462657568
KP0189_AC_SQ12,KP0189_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,3.45776014356866,-2.46105351042456,-0.176634277359914,0.00529912150799317,-0.0271734738966664,0.244017645420977
KP0190_AC_SQ12,KP0190_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,3.47411019840989,-2.42779419277807,-0.459311203732847,-0.0571124104440547,0.0186131028639899,1.10597684097279
KP0192_AC_SQ12,KP0192_AC_SQ12,AL,AC_SQ12,SQ,SQ12,10-12,-11.2081119778072,-1.94003233745529,-0.0407118756101043,-0.0356275904395709,-0.91510317679355,-0.00839335224473531
KP0197_AC_SQ12,KP0197_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,3.49041380729974,-2.432620409439,0.116608280779028,-0.0252087278131439,-0.00714523287277415,0.32211987761665
KP0202_AC_SQ12,KP0202_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,3.43650810213659,-2.49643459370318,0.454313302272463,0.0268702287831601,-0.0270683344890049,0.889200569299416
KP0203_AC_SQ12,KP0203_AC_SQ12,AL,AC_SQ12,SQ,SQ12,10-12,-11.4510527690322,-1.9675471856786,0.0497814937888944,0.0487642676138917,-0.920982814559157,0.020617484126683
KP0207_LM_SQ12,KP0207_LM_SQ12,AL,LM_SQ12,SQ,SQ12,10-12,-11.3122688592278,-1.95595050974168,-0.0387362584389005,0.104558811595319,-1.10345033100575,-0.0368695878856213
KP0209_AC_SQ12,KP0209_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,3.23983125288595,-2.32555480460949,-0.164580531813731,-0.0303406966072235,0.0503047426858271,0.613763411153558
KP0211_AC_SQ12,KP0211_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,0.422207236010952,8.19744713187796,-0.151085529217239,1.69340366791588,0.0681617799236808,-0.0630573653015979
KP0214_AC_SQ20,KP0214_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.47936508905949,-2.49903453040342,-0.521464433112294,-0.0276455285745478,0.0549024370115847,0.50688032834139
KP0218_AC_SQ20,KP0218_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.17475470360736,-2.04094192139137,3.3141513035416,0.0874008267864363,0.0176049008506479,-0.0265257566952925
KP0220_AC_SQ20,KP0220_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.49614354708198,-2.56539043161403,0.0664487238401367,0.0262384226904221,-0.0820648247027238,0.696836367726642
KP0222_AC_SQ20,KP0222_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.39527611089232,-2.33020002004222,-0.191198067672809,-0.0269721245066798,-0.104625999276742,0.781287763971678
KP0225_AC_SQ20,KP0225_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.44990010318765,-2.40834246717049,-0.277771014850656,-0.00694593807809497,-0.00615194819702977,-0.147908373937753
KP0229_AC_SQ20,KP0229_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.44411820356942,-2.46939364660574,-0.176655558823251,-0.0068811875956651,0.00467455947229058,0.232976728786876
KP0235_AC_SQ20,KP0235_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,2.20856160993345,-1.65716715013509,2.26145356196128,0.169294731143624,0.0849114961489514,-0.466863730643865
