,taxa.geodist$Individual,PC1xy,PC2xy,x,y,z
405,KP0346_AC_WP20,16538.9601532915,10.494510362913,7.84725065650486,-46.6581607922305,-20.1184238328403
413,KP0354_AC_WP20,16540.0615458492,10.8871886730596,6.74586058673311,-47.050846080379,-20.0623535965289
414,KP0355_AC_WP20,16540.0329752999,10.0314449799732,6.77442571433726,-46.1951022062975,-19.8133968689452
419,KP0360_AC_WP20,16540.8601929735,10.3114418168609,5.94720981476529,-46.4751042841202,-19.5036348990115
424,KP0365_AC_WP20,16541.0244276633,10.6987003145072,5.78297757847869,-46.8623638222881,-19.3463173934253
427,KP0368_AC_WP20,16540.7754015126,11.0053965093552,6.03200567226711,-47.1690584393937,-19.4678069876461
431,KP0372_AC_WP20,16541.3374586022,10.3284084310792,5.46994429355343,-46.4920739221141,-19.5289880871299
433,KP0374_AC_WP20,16539.5042157924,11.9713044481343,7.30319751210235,-48.1349583243979,-20.4324736727162
442,KP0383_AC_WP20,16537.6637476005,11.7301648728683,9.14366417620222,-47.8938070886212,-20.4922180092688
464,KP0405_AC_WP20,16534.0177059368,10.0890971967516,12.7896954426215,-46.2527163125861,-20.3972951682885
604,KP0407_AC_CA05,-1281.19291395762,-39.6265177732261,17828,3.57576914327141,-4.11108076329598
605,KP0408_AC_CA05,-1282.80405066999,-36.6806726139815,17829.6111553761,0.629934191643346,-4.73855666049819
606,KP0409_AC_CA05,-1290.06486528144,-37.8583486542373,17836.8719625261,1.8076562336713,-4.68182593321678
619,KP0424_AC_CA05,-1291.72821874797,-37.7059068577918,17838.5353169584,1.65522497561197,-4.85187685377052
635,KP0441_AC_CA05,-1299.64085933608,-36.06148392748,17846.4479679648,0.0108521768536681,-5.36727442467402
465,KP0450_AC_WP20,16534.1088849074,10.3416130979878,12.6985180718441,-46.505232791493,-20.2660451858809
469,KP0454_AC_WP20,16535.0539726898,9.54725045275677,11.7534252567115,-45.7108761339993,-20.1752440415556
472,KP0457_AC_WP20,16535.7633939233,9.98233904253297,11.0440067797515,-46.1459692183934,-20.4420095720285
477,KP0462_AC_WP20,16536.7838068522,10.0035358096916,10.0235939852113,-46.1671724505049,-19.6595020985107
479,KP0464_AC_WP20,16537.0151212885,9.83720864560516,9.79227849505463,-46.0008467519432,-19.4269086357281
483,KP0468_AC_WP20,16536.00068056,10.3741975822774,10.8067226256817,-46.537829261489,-19.8102516522101
485,KP0470_AC_WP20,16535.6254478003,11.1475428853829,11.1819602850442,-47.3111721872451,-20.1672632708848
486,KP0471_AC_WP20,16535.3981656476,11.2851117687893,11.4092433093439,-47.4487396306743,-20.4269899692353
492,KP0477_AC_WP20,16532.4417345438,11.4872120750562,14.365675693539,-47.6508212060995,-20.4282421832684
494,KP0479_AC_WP20,16532.0922236404,11.8259336355536,14.7151887429464,-47.9895405522202,-20.5383114597807
496,KP0481_AC_WP20,16531.7791898365,11.6375347877977,15.0282213532209,-47.8011397212034,-20.8024392581287
499,KP0484_AC_WP20,16531.2235122006,11.1289137221573,15.583895766597,-47.2925151350083,-20.3460281365918
500,KP0485_AC_WP20,16527.1337174464,10.4483644619746,19.6736862090682,-46.611939963435,-19.6916798124563
502,KP0487_AC_WP20,16527.3635779451,10.1919832498942,19.4438240860387,-46.3555602076696,-19.8149263739685
504,KP0489_AC_WP20,16527.8049575546,10.3551139686534,19.0024455101066,-46.518693722841,-19.9592334341147
505,KP0490_AC_WP20,16528.1174325942,10.3698640773306,18.689970563964,-46.5334458112425,-20.0464075376388
