,x,y,z,p
KP0202_AC_SQ12,0.234361765876047,-1.6881114314384567,-1.3167524187858557,1.0
KP0203_AC_SQ12,0.14206385712145786,-2.1782140235385583,-1.3985643284030418,1.0
KP0204_AC_SQ12,0.43762167567267996,-1.6872809813033558,-1.1104306399493005,1.0
KP0205_AC_SQ12,0.5931499960181872,-1.6448504776450326,-1.249869379598266,1.0
KP0206_AC_SQ12,1.2115944549107571,1.1267725768917485,-1.3241767444459798,1.0
KP0207_LM_SQ12,1.2450354146693225,1.7656646046282174,-1.2535919733613279,1.0
KP0208_AC_SQ12,0.777679224769409,2.104655702789872,-1.2774838902213903,1.0
KP0209_AC_SQ12,1.1656325809300698,2.6265646866941026,-1.167501924110651,1.0
KP0210_AC_SQ12,-1.194317789265425,3.8954090189432624,-1.0946859030313107,1.0
KP0211_AC_SQ12,0.14417890226376195,6.573486934894286,-0.7782043498171904,1.0
KP0150_AC_SQ12,2.4151479481680447,-11.18231459748374,-0.6579505199587314,1.0
KP0151_AC_SQ12,2.414100269182071,-11.250548152643146,-0.6692518940509112,1.0
KP0153_AC_SQ12,1.6514544011338181,-13.040691364329899,-0.9517520813110172,1.0
KP0154_AC_SQ12,2.3078879428748538,-7.776400933094228,-1.0402634597511262,1.0
KP0152_AC_SQ12,2.322866842301115,-11.291201614279695,-0.5970681747079528,1.0
KP0155_AC_SQ12,2.4497304919239395,-7.696232560318987,-1.0674733311281703,1.0
KP0156_AC_SQ12,2.6362025764921797,-7.6915848591586595,-1.1696165356539123,1.0
KP0157_AC_SQ12,2.1899246479114147,-7.770753964293592,-1.0888708541760403,1.0
KP0158_AC_SQ12,2.261837770083252,-7.990866242089919,-1.0846640614530507,1.0
KP0159_AC_SQ12_X,2.39088324019033,-9.944434142141844,-0.5834210338138118,1.0
KP0160_AC_SQ12_X,2.576586052565632,-10.377719290368063,-0.5973761630910805,1.0
KP0161_AC_SQ12,2.51883187960882,-10.38014359160171,-0.5613581079967103,1.0
KP0162_AC_SQ12,2.5324207095564377,-10.476556947187262,-0.45675114320591187,1.0
KP0164_AC_SQ12,2.231492744486956,-10.665241942740444,-0.7022339780759559,1.0
KP0165_AC_SQ12,2.1376097536597016,-10.765295775564244,-0.7631856496671764,1.0
KP0171_AC_SQ12_X,2.4390924473862423,-11.20744942425207,-0.6897205495592179,1.0
KP0166_AC_SQ12_X_SH,2.352829946162515,-10.741719590484191,-0.8364220738248598,1.0
KP0167_AC_SQ12,1.9594333113212716,-10.899051098799534,-0.7104389070924084,1.0
KP0169_AC_SQ12_X,2.0205747192515804,-11.033208504248153,-0.980379611277035,1.0
KP0170_AC_SQ12_X,2.473881246110682,-11.233187255658587,-0.7438457663400748,1.0
KP0172_AC_SQ12,3.194200065230341,-11.142233690850588,-0.7349415475281009,1.0
KP0173_AC_SQ12,3.2808385322672278,-11.115557898428651,-0.6784433933580585,1.0
KP0174_AC_SQ12,3.36372672744938,-11.137994386760797,-0.7161140098205555,1.0
KP0175_AC_SQ12,3.457819645772165,-11.145006527459067,-0.7947059416393167,1.0
KP0176_AC_SQ12,3.3705240202809943,-11.063182726559958,-0.6820042943176359,1.0
KP0177_AC_SQ12,3.5309381265328756,-11.065451258400387,-0.7177951443225952,1.0
KP0178_AC_SQ12,3.574128889454288,-11.006898295046394,-0.9124906552928125,1.0
KP0168_AC_SQ12_X,1.9553948834518668,-10.877766434977033,-0.7567186713366031,1.0
