,x,y,z,range
KP0639_LM_SB20,5.135304498074617,0.4893928072369928,1.9739235349526592,1.0
KP0640_AC_SB20,6.384807165435632,2.4414525651554033,1.801895113442736,1.0
KP0641_LM_SB20,5.0551592450356875,0.21641066710822476,1.8768756673806328,1.0
KP0642_AC_SB20,5.9031254623557095,2.127531450297151,2.000668994199174,1.0
KP0643_AC_SB20,4.8629747695637695,-0.16987400367745958,1.9323216030288428,1.0
KP0644_AC_SB20,5.786692867703391,1.9148184841493525,1.8555804493170116,1.0
KP0645_AC_SB20_X,3.377769590683166,0.02267334697398502,2.3667478302812315,1.0
KP0646_AC_SB20,5.603893974499515,1.692132832779106,2.0373773942598308,1.0
KP0647_AC_SB20,3.042298070325797,-0.7167882680264558,2.393692011722357,1.0
KP0648_AC_SB20,5.441524065771735,1.7181361185498252,1.93203986170636,1.0
KP0649_AC_SB20,2.5209250008028823,-0.282018955237415,2.12896753106651,1.0
KP0650_LM_SB20,4.358538481984404,2.009130923026624,2.0531504697032714,1.0
KP0651_AC_SB20,2.426423206426358,-0.5273705838271121,2.188019848468417,1.0
KP0652_AC_SB20,4.009672019706432,1.3047073163519574,2.101581029136282,1.0
KP0653_GR_X,5.288187243777877,-0.15360688950857676,1.781841136462928,1.0
KP0654_AC_SB20,3.7686947070310954,1.02943990395058,2.1898655582318125,1.0
KP0655_LM_SB20,2.4091030536685616,-1.5276308038331274,2.0792809092540607,1.0
KP0656_AC_SB20,3.7970674942895646,1.2919523198673801,2.119990185844216,1.0
KP0657_LM_SB20,10.750826723274987,3.067649676004566,1.8582858276798395,1.0
KP0658_AC_SB20,3.636704873941459,1.5022716452364937,1.909921823290035,1.0
KP0659_LM_SB20,10.721598763964158,2.76750363400202,1.972840570063283,1.0
KP0660_AC_SB20,3.900873305088078,1.7088638825485838,1.9625858027988492,1.0
KP0661_AC_SB20,10.151159408699412,2.0833638661090235,1.772159538644474,1.0
KP0662_AC_SB20,2.810713892124997,1.5545156905088584,2.644032511237913,1.0
KP0663_AC_SB20,9.819922367021471,2.3439934827025617,2.017588661812496,1.0
KP0664_LM_SB20,2.8009805001383445,0.3317606285010123,1.941256545667624,1.0
KP0665_AC_SB20,9.321453918648693,2.5350203542989087,2.147499777026993,1.0
KP0666_LM_SB20,2.446641797460954,0.3620082980454741,2.005710655301662,1.0
