Sample,Pop,Groups,Sites
KP0236_AC_SQ20,SQ20,312,20291.0
KP0237_AC_SQ20,SQ20,80,21454.0
KP0241_AC_SQ20,SQ20,22,21726.0
KP0242_AC_SQ20,SQ20,47,21918.0
KP0243_AC_SQ20,SQ20,28,21031.0
KP0247_AC_SQ20,SQ20,3,21381.0
KP0251_AC_SQ20,SQ20,33,21989.0
KP0255_AC_SQ20,SQ20,1,21651.0
KP0261_AC_SQ20,SQ20,62,21514.0
KP0259_AC_SQ20,SQ20,2,21613.0
KP0269_AC_SQ20,SQ20,66,22100.0
KP0272_AC_SQ20,SQ20,46,22097.0
KP0279_AC_SQ20,SQ20,81,21539.0
KP0284_AC_SQ20,SQ20,67,21958.0
KP0289_AC_WP20,WP20,225,20998.0
KP0291_AC_WP20,WP20,273,20823.0
KP0292_AC_WP20,WP20,230,19157.0
KP0294_AC_WP20,WP20,146,21759.0
KP0296_AC_WP20,WP20,190,21514.0
KP0301_AC_WP20,WP20,161,21145.0
KP0304_AC_WP20,WP20,170,21952.0
KP0305_AC_WP20,WP20,234,21973.0
KP0311_AC_WP20,WP20,17,21500.0
KP0314_AC_WP20,WP20,149,22055.0
KP0317_AC_WP20,WP20,147,19031.0
KP0323_AC_WP20,WP20,150,21991.0
KP0326_AC_WP20,WP20,198,20452.0
KP0329_AC_WP20,WP20,201,18965.0
KP0332_AC_WP20,WP20,105,22058.0
KP0335_AC_WP20,WP20,175,21822.0
KP0340_AC_WP20,WP20,280,16052.0
KP0346_AC_WP20,WP20,215,19676.0
KP0347_AC_WP20,WP20,14,21625.0
KP0354_AC_WP20,WP20,155,22078.0
KP0355_AC_WP20,WP20,156,17126.0
KP0360_AC_WP20,WP20,191,22027.0
KP0365_AC_WP20,WP20,109,21785.0
KP0368_AC_WP20,WP20,268,21828.0
KP0369_AC_WP20,WP20,8,21524.0
KP0372_AC_WP20,WP20,176,22022.0
KP0374_AC_WP20,WP20,121,21214.0
KP0379_AC_WP20,WP20,5,15279.0
KP0383_AC_WP20,WP20,132,22063.0
KP0481_AC_WP20,WP20,115,21982.0
KP0395_AC_WP20,WP20,4,21553.0
KP0396_AC_WP20,WP20,4,21553.0
KP0399_LM_WP20,WP20,15,21514.0
KP0405_AC_WP20,WP20,274,22013.0
KP0406_NA_NANA,WP20,110,21724.0
KP0407_AC_CA05,CA05,99,16310.0
KP0408_AC_CA05,CA05,296,21958.0
KP0409_AC_CA05,CA05,243,19244.0
KP0424_AC_CA05,CA05,269,22040.0
KP0431_HU_CA05,CA05,310,22046.0
KP0441_AC_CA05,CA05,256,21975.0
KP0450_AC_WP20,WP20,207,20655.0
KP0452_AC_WP20,WP20,13,21176.0
KP0454_AC_WP20,WP20,263,22024.0
KP0457_AC_WP20,WP20,193,22056.0
KP0462_AC_WP20,WP20,118,21212.0
KP0463_AC_WP20,WP20,6,14889.0
KP0464_AC_WP20,WP20,187,21168.0
KP0468_AC_WP20,WP20,171,21555.0
KP0470_AC_WP20,WP20,116,17394.0
KP0471_AC_WP20,WP20,172,22069.0
KP0477_AC_WP20,WP20,163,21384.0
KP0479_AC_WP20,WP20,216,15964.0
KP0484_AC_WP20,WP20,184,20420.0
KP0485_AC_WP20,WP20,202,22098.0
KP0576_AC_WP20,WP20,9,21675.0
KP0487_AC_WP20,WP20,152,22132.0
KP0489_AC_WP20,WP20,194,21805.0
KP0490_AC_WP20,WP20,177,20946.0
KP0491_AC_WP20,WP20,151,22117.0
KP0494_AC_WP20,WP20,166,21340.0
KP0505_AC_WP20,WP20,270,14029.0
KP0508_AC_WP20,WP20,167,21229.0
KP0512_AC_WP20,WP20,174,21967.0
KP0516_AC_WP20,WP20,120,22037.0
KP0521_AC_WP20,WP20,165,21222.0
KP0523_AC_WP20,WP20,133,22052.0
KP0532_AC_WP20,WP20,153,21792.0
KP0530_AC_WP20,WP20,169,21864.0
KP0533_AC_WP20,WP20,173,21480.0
KP0535_AC_WP20,WP20,104,21568.0
KP0536_AC_WP20,WP20,231,20817.0
