,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP1149_AC_CA20,KP1149_AC_CA20,CA20,CA,20,-1.19902268334938,-1.40546959995211,-0.543016505419264,-2.38757931061544
KP1150_AC_CA20,KP1150_AC_CA20,CA20,CA,20,-2.51676715683247,-0.952675307947636,-2.65088122799667,-2.87334126675764
KP1151_AC_CA20,KP1151_AC_CA20,CA20,CA,20,-1.76212215739168,-0.587960424392578,-2.58216830436844,-1.44919514415789
KP1156_UN_CA20,KP1156_UN_CA20,CA20,CA,20,-2.12319304172344,-1.72254267795385,-2.29244931273746,-2.22624914313481
KP1165_AC_CA20,KP1165_AC_CA20,CA20,CA,20,-2.26787304263173,-1.72283617484768,-2.31060463688145,-2.63744951300359
KX0394_AC_WP20,KX0394_AC_WP20,WP20,WP,20,18.7554045859924,0.641578577532334,0.93255798938917,-0.127342119137033
KX0396_AC_WP20,KX0396_AC_WP20,WP20,WP,20,18.8315064439393,0.720878668701879,1.08897710164498,-0.143149729589406
KX0604_AC_SB20,KX0604_AC_SB20,SB20,SB,20,-1.16537607440136,-1.69573554374877,-0.303862510284721,2.36639767524939
KX0743_AC_WP10,KX0743_AC_WP10,WP10,WP,10-12,-2.73841846639982,2.68013521366891,-0.758801647687213,-0.851270022895525
KZ0578_AC_WP20,KZ0578_AC_WP20,WP20,WP,20,18.0866689570578,0.200542025848182,0.178701075607044,-0.842318369918151
