,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0301_AC_WP20,KP0301_AC_WP20,WP20,WP,20,0.778914675139929,1.19214527155722,0.216246911733556,-0.150388863749715
KP0304_AC_WP20,KP0304_AC_WP20,WP20,WP,20,1.05344154701889,2.24053699416929,0.779832971648803,1.55555238631168
KP0305_AC_WP20,KP0305_AC_WP20,WP20,WP,20,0.955723773487743,1.07769866514801,0.147407217196135,-0.960087588332023
KP0311_AC_WP20,KP0311_AC_WP20,WP20,WP,20,-8.8163034087507,0.474947871893468,0.0154420792595063,0.328750367277092
KP0314_AC_WP20,KP0314_AC_WP20,WP20,WP,20,0.940894503967138,1.84262991819833,-1.1949240068958,-0.0424270450004139
KP0317_AC_WP20,KP0317_AC_WP20,WP20,WP,20,0.641639574671968,0.562277618853469,-0.335412254763399,0.513867824700293
KP0323_AC_WP20,KP0323_AC_WP20,WP20,WP,20,0.795139401224333,1.32507172098211,-0.78408428430531,-0.913237622150814
KP0326_AC_WP20,KP0326_AC_WP20,WP20,WP,20,0.964305804709943,1.38427655712407,-0.69617756225408,-0.0463872690046062
KP0329_AC_WP20,KP0329_AC_WP20,WP20,WP,20,1.30943000155297,1.15994456048213,-0.0481283568544411,0.197382849461624
KP0332_AC_WP20,KP0332_AC_WP20,WP20,WP,20,0.928322326601331,1.68781686172081,-0.221126157752266,-1.14411429277031
KP0335_AC_WP20,KP0335_AC_WP20,WP20,WP,20,1.17367566561164,1.680902897349,0.518816308477987,-0.0826773330265333
KP0340_AC_WP20,KP0340_AC_WP20,WP20,WP,20,0.141975060764506,-1.48330441247785,-0.376178318456024,0.00223814165237679
KP0346_AC_WP20,KP0346_AC_WP20,WP20,WP,20,1.1754913555077,0.61509456645735,-0.827650880469687,0.0862901019264444
KP0347_AC_WP20,KP0347_AC_WP20,WP20,WP,20,-8.81886551910105,-0.115405668589583,0.0551421923202084,0.340380474420209
KP0354_AC_WP20,KP0354_AC_WP20,WP20,WP,20,1.06377702348201,1.54846905606177,0.111055582765857,0.104777520108422
KP0355_AC_WP20,KP0355_AC_WP20,WP20,WP,20,0.691225029445805,1.07258370489359,0.202247345827477,0.27425092734609
KP0360_AC_WP20,KP0360_AC_WP20,WP20,WP,20,1.39890647879762,1.2750640152983,0.173431075435005,0.305372867628125
KP0365_AC_WP20,KP0365_AC_WP20,WP20,WP,20,1.39473990185579,1.32069661732061,-0.846576586043406,0.553009415647518
KP0368_AC_WP20,KP0368_AC_WP20,WP20,WP,20,1.37986552010373,0.445023109924315,0.42891603038212,-0.187044478515776
KP0369_AC_WP20,KP0369_AC_WP20,WP20,WP,20,-8.58106472425841,0.360661734191031,-0.372979056697403,-0.13700032223235
KP0372_AC_WP20,KP0372_AC_WP20,WP20,WP,20,0.561693136600115,1.68973791002549,0.00414340563328364,0.0475553669930447
KP0374_AC_WP20,KP0374_AC_WP20,WP20,WP,20,1.32504648049832,1.30731725831919,0.819709434046904,-0.0283489028982362
KP0379_AC_WP20,KP0379_AC_WP20,WP20,WP,20,-6.12618770450068,0.0721515174048974,0.232706937890237,-0.313600185135483
KP0383_AC_WP20,KP0383_AC_WP20,WP20,WP,20,1.14095725494109,1.30037868297617,-0.276056383887584,0.302244985499113
KP0395_AC_WP20,KP0395_AC_WP20,WP20,WP,20,-9.05950312596775,0.0496772793265913,-0.0849999479051589,-0.28689776505151
KP0396_AC_WP20,KP0396_AC_WP20,WP20,WP,20,-9.09527778053032,0.0757893913851782,-0.181284956502726,-0.280371641651707
KP0399_LM_WP20,KP0399_LM_WP20,WP20,WP,20,-8.67566508368484,0.191830834420699,-7.34988565605455e-06,-0.133247660430601
