country,locality,yearCollected,materialSampleID,principalInvestigator,collectorList,continentOcean,locationID,decimalLatitude,decimalLongitude,depthOfBottomInMeters,eventEnteredBy,habitat,island,georeferenceProtocol,microHabitat,fieldNotes,associatedMedia,identificationRemarks,class,family,genus,identifiedBy,kingdom,order,phylum,scientificName,bioProjectAccession,tissueID
Curacao,Snake Bay,2019,KP0046_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31510.9863910583 | -28.4880162815695 | -10.1053635952887,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Can't see the coral- position estimated | NA,NA,AA2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0046_AC_SB10
Curacao,Snake Bay,2019,KP0077_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.2463871352 | -29.1286779714674 | -9.85132958854379,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 91_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0077_AC_SB10
Curacao,Snake Bay,2019,KP0078_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.4147273519 | -29.4377139474323 | -9.72527681047421,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0078_AC_SB10
Curacao,Snake Bay,2019,KP0079_LM_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia lamarcki,NA,KP0079_LM_SB10
Curacao,Snake Bay,2019,KP0080_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.6146317967 | -29.374957373011 | -9.63374924589086,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Weird morph- Cant see the coral- position estimated | NA,NA,AA2 | 40_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0080_AC_SB10
Curacao,Snake Bay,2019,KP0081_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.9092447466 | -29.3417866060555 | -9.46393663743367,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Weird morph- Cant see the coral- position estimated | NA,NA,AA2 | 40_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0081_AC_SB10
Curacao,Snake Bay,2019,KP0082_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0082_AC_SB10
Curacao,Snake Bay,2019,KP0083_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0083_AC_SB10
Curacao,Snake Bay,2019,KP0084_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.0809748212 | -29.1550881742154 | -9.80584567608282,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AH2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia humilis,NA,KP0084_AC_SB10
Curacao,Snake Bay,2019,KP0085_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0085_AC_SB10
Curacao,Snake Bay,2019,KP0086_LM_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.8394567971 | -28.9339126362161 | -9.84989286381656,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AL2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia lamarcki,NA,KP0086_LM_SB10
